locus,t0_copies_cell,t1_copies_cell,t2_copies_cell
BSU29200,1047,795,910
BSU24350,3355,889,28
BSU24340,527,286,634
BSU29470,3042,1758,2419
BSU08070,9737,6146,19913
BSU08080,114,325,848
BSU08090,290,233,555
BSU29680,1037,1384,3490
BSU01370,1470,866,1827
BSU40090,69388,43066,62318
BSU40100,5837,4363,5017
BSU31410,3349,3516,2603
BSU31930,15145,6392,15279
BSU23570,118,118,35
BSU27610,1738,1189,1706
BSU11190,767,389,772
BSU11220,1476,850,1501
BSU37330,2293,1716,3749
BSU29750,24704,9514,9162
BSU22600,1029,579,494
BSU22710,2313,1814,3069
BSU22690,1441,1006,804
BSU16750,974,932,3982
BSU22360,2278,1342,1529
BSU22370,7546,2849,3270
BSU27550,2287,1217,941
BSU36830,16979,9012,13079
BSU36810,10534,4258,6323
BSU36820,686,502,668
BSU24080,3408,2690,11556
BSU40110,230,230,362
BSU39260,1493,1103,1932
BSU30230,5350,2260,2738
BSU30200,2142,1227,1151
BSU24050,728,291,884
BSU24040,3612,2418,4248
BSU03180,1232,980,1680
BSU29740,318,133,476
BSU14140,371,372,655
BSU16430,483,188,62
BSU16440,1996,1296,699
BSU16930,781,506,721
BSU18000,5745,3428,5655
BSU33040,7597,4282,4666
BSU29140,22342,10224,18693
BSU00860,711,495,617
BSU34540,1536,731,1056
BSU16160,117,606,409
BSU22890,2125,1795,3007
BSU16170,350,351,272
BSU32690,3779,2246,2854
BSU21930,90937,63169,98515
BSU08930,872,883,863
BSU15600,14579,7155,10785
BSU15570,2073,1451,1462
BSU00730,6513,2955,3977
BSU16770,1970,1359,3627
BSU09670,4913,3817,9476
BSU35490,2251,1461,1432
BSU19630,2828,2576,3169
BSU21810,2589,1755,3723
BSU19310,1628,1464,6161
BSU31970,1077,1093,1473
BSU31990,7297,3983,7291
BSU31980,10561,4162,3499
BSU05630,196,146,305
BSU38500,1049,831,757
BSU25470,8450,4859,2421
BSU30650,11016,8330,11636
BSU10040,1087,967,1058
BSU24450,5117,1779,1876
BSU33900,29922,14062,19899
BSU28530,1496,2384,2926
BSU12370,158,253,52
BSU15900,2627,1342,1671
BSU11340,5416,2366,4085
BSU11330,2129,1833,2586
BSU10170,230,189,358
BSU11720,7722,5949,8761
BSU08650,1540,1009,1634
BSU37120,18039,8710,10595
BSU40190,150,126,71
BSU35410,393,270,104
BSU16320,850,900,713
BSU15730,831,656,766
BSU00780,1710,1196,1801
BSU24310,170,85,239
BSU15280,662,418,546
BSU01120,23259,12858,16612
BSU38860,2975,1717,3186
BSU33940,2197,1284,1281
BSU06680,1336,604,933
BSU06690,3474,2766,1798
BSU24550,582,531,1031
BSU16130,237,237,439
BSU41010,86,9,14
BSU01780,1114,808,434
BSU17460,16645,11115,11598
BSU09290,263,571,1140
BSU18450,609,285,104
BSU00920,1432,1185,3320
BSU36900,10182,4791,6011
BSU25270,1622,1214,1611
BSU25260,1055,922,982
BSU15680,1529,895,1794
BSU40060,203,115,92
BSU40080,1629,641,748
BSU11670,1342,1721,593
BSU22830,288,271,256
BSU06030,10300,4836,3657
BSU06020,40528,17793,34361
BSU25480,4604,4497,2958
BSU08710,708,539,925
BSU38430,1483,1034,2080
BSU35670,660,328,542
BSU06360,4578,5511,7521
BSU00090,6450,4621,5993
BSU32130,193,232,213
BSU22960,1157,580,888
BSU00060,321,236,405
BSU35360,9552,11147,24114
BSU10380,3169,966,1236
BSU10130,1547,1289,1239
BSU28120,5902,2089,1717
BSU22620,4023,2507,6242
BSU34910,1044,784,1648
BSU34870,2188,1079,759
BSU34920,1919,1295,2414
BSU27560,4952,2219,3032
BSU32260,3436,2047,3239
BSU35000,813,587,601
BSU00680,6291,3157,5073
BSU39820,1752,1123,1134
BSU39360,189,127,670
BSU03460,4450,2378,4333
BSU29130,41324,16631,32135
BSU15430,990,934,1482
BSU21770,793,430,52
BSU28310,3316,1500,1905
BSU28290,75395,36887,50694
BSU21870,4271,1398,2083
BSU08820,3140,4640,7391
BSU39050,124,81,69
BSU22130,7694,5505,6638
BSU04080,817,405,670
BSU28280,3390,1505,522
BSU28270,5218,2316,1868
BSU28260,1636,1150,741
BSU28250,5846,3609,2313
BSU24060,1578,1165,2042
BSU30670,2289,1319,2360
BSU23380,5990,1660,5360
BSU28470,4406,1282,806
BSU00820,878,714,713
BSU36410,1152,777,955
BSU29120,32816,12604,16129
BSU11520,1978,2588,3525
BSU30300,210,136,817
BSU30800,1638,1431,2335
BSU21910,1122,892,1162
BSU13180,9230,4809,3703
BSU30550,3962,2046,1556
BSU00380,875,771,876
BSU27990,3544,1500,6195
BSU16710,553,264,514
BSU39760,1457,751,1044
BSU30770,406,836,1295
BSU24520,900,300,488
BSU14280,253,226,273
BSU15230,399,219,110
BSU15200,878,540,357
BSU15180,1101,543,691
BSU04570,434,385,1909
BSU27850,327,867,809
BSU27860,3943,2220,1407
BSU03130,4111,2560,2599
BSU22730,6217,5591,9054
BSU38110,616,560,960
BSU03420,3844,1324,1543
BSU17380,494,385,209
BSU17390,1945,977,664
BSU16600,2729,1835,1832
BSU19370,2474,2111,3918
BSU19360,8155,5257,4611
BSU11460,40,148,68
BSU33730,215,271,161
BSU33240,4306,2602,4926
BSU00750,562,191,213
BSU00740,274,285,775
BSU14000,1765,1136,1456
BSU14580,4425,5452,7055
BSU14590,10905,6526,6489
BSU14600,10012,6860,6154
BSU14610,11794,8779,6741
BSU29190,1797,1444,1173
BSU31350,7808,5723,7262
BSU33930,5859,2120,2593
BSU33910,4788,3480,5742
BSU28640,213,310,888
BSU28630,1326,1024,755
BSU25340,399,370,464
BSU17100,442,410,640
BSU15890,1245,650,933
BSU34390,676,446,891
BSU16690,2302,2327,2689
BSU40550,479,509,611
BSU23360,7013,5609,8196
BSU35290,3037,1746,1959
BSU08970,170,22,482
BSU16570,969,565,366
BSU00510,2178,1190,2442
BSU37660,2878,1417,1754
BSU13900,7193,914,5795
BSU13910,6157,3257,4853
BSU23490,2391,1497,2312
BSU40420,2918,1645,2136
BSU06440,8737,4987,5920
BSU06450,8592,3220,3803
BSU06530,2844,821,1003
BSU06490,1287,1448,2649
BSU06520,5356,2813,5836
BSU06430,593,502,920
BSU06480,2939,1101,1301
BSU06500,2191,848,326
BSU06510,800,493,664
BSU06470,3314,991,469
BSU00470,1084,845,1229
BSU06460,28257,15146,18206
BSU14860,1602,907,2037
BSU15510,958,644,274
BSU15520,504,211,117
BSU15500,2608,983,2242
BSU15560,1660,967,888
BSU16510,1996,1650,3156
BSU15530,1609,821,854
BSU15470,3405,1663,2241
BSU27720,394,302,373
BSU12430,1099,499,1133
BSU35940,18,153,455
BSU16940,5143,3169,4953
BSU23120,909,838,969
BSU37780,423,747,2781
BSU40340,842,806,3444
BSU40320,1671,1032,1513
BSU15790,1519,1190,1919
BSU28370,1352,1065,1772
BSU01040,5113,2638,2690
BSU01050,20697,11499,19060
BSU01430,27116,13650,25767
BSU01070,1411,800,802
BSU16490,12271,8192,7147
BSU40910,16157,2325,1696
BSU04710,3349,2692,3600
BSU15590,7056,2712,1335
BSU28440,1198,1215,2387
BSU35300,411,395,564
BSU23070,9076,4149,5497
BSU10020,5816,3031,4438
BSU00130,3169,1903,3698
BSU25200,1136,2062,1407
BSU25020,36093,14195,29664
BSU24220,394,358,1763
BSU08760,6090,5621,8165
BSU23470,388,237,3471
BSU22800,276,10,309
BSU00490,11503,7038,2910
BSU03490,106,189,324
BSU03510,761,539,667
BSU03520,9100,3910,4628
BSU40900,263,147,3701
BSU16090,10243,5100,8473
BSU16100,7260,3308,3561
BSU35740,751,656,811
BSU35730,411,573,491
BSU27710,1394,1160,1145
BSU08790,4612,2854,1828
BSU38020,2720,1390,1948
BSU11700,1201,1088,770
BSU11690,4842,2784,3442
BSU32250,4616,1614,2833
BSU28950,732,504,189
BSU28230,6608,5389,5836
BSU17890,8379,4454,5354
BSU33920,2920,1493,2091
BSU29490,16001,8796,16413
BSU22630,1502,694,1031
BSU22680,299,87,190
BSU28500,35338,16009,46949
BSU34790,768,492,377
BSU16500,30608,17761,20428
BSU01130,102596,40568,44607
BSU29670,4314,1369,1521
BSU36890,2837,2451,3649
BSU38090,248,175,224
BSU39230,66,6,51
BSU22070,3387,1650,1887
BSU00110,7634,4624,7523
BSU00120,749,443,55
BSU00290,1030,922,894
BSU00480,9942,6159,8722
BSU00880,465,179,232
BSU01540,1052,740,1132
BSU02330,334,362,579
BSU01060,743,433,549
BSU02500,215,255,293
BSU02890,9501,4123,7083
BSU02900,26079,16459,20752
BSU02910,8810,6867,12397
BSU02940,711,1172,1008
BSU03210,483,467,2357
BSU03270,617,256,84
BSU04050,382,181,371
BSU04210,586,782,1085
BSU04520,40,151,10
BSU05000,808,421,561
BSU05400,521,417,493
BSU05920,266,280,265
BSU06170,524,446,379
BSU06210,700,586,438
BSU06240,4828,1952,2897
BSU06812,377,366,691
BSU06840,1481,832,930
BSU06560,339,91,336
BSU08470,9914,4824,6086
BSU08590,490,573,1666
BSU08630,168,201,215
BSU07830,966,538,550
BSU07480,4629,3769,5221
BSU07450,1142,735,1530
BSU07440,57064,19841,17963
BSU07350,1461,753,1047
BSU08750,793,650,992
BSU10070,7998,3222,4305
BSU09930,142,371,438
BSU09250,378,368,396
BSU09650,1071,787,1508
BSU09800,44900,17904,13778
BSU10200,465,918,322
BSU10240,761,288,297
BSU10250,274,330,360
BSU10260,879,579,920
BSU10340,5135,4177,3220
BSU10100,6764,5260,5763
BSU09260,621,359,983
BSU09310,832,347,934
BSU10750,471,501,914
BSU11010,212,179,193
BSU11150,422,394,485
BSU11540,5113,3716,6203
BSU11610,345,326,435
BSU11710,953,526,439
BSU11850,12648,6944,15667
BSU11860,322,284,768
BSU11870,1859,1110,1124
BSU11880,11275,4390,10659
BSU11980,308,50,294
BSU12190,742,652,1073
BSU12230,5859,3169,2800
