locus_tag,gene,rSS_average
BSU00030,yaaA,0.361866294
BSU00040,recF,0.251241722
BSU00050,yaaB,0.378281361
BSU00080,yaaC,1.194940034
BSU00090,guaB,0.603072735
BSU00100,dacA,0.950687108
BSU00140,dck,0.989079516
BSU00150,dgk,1.098524762
BSU00160,yaaH,1.084526849
BSU00170,yaaI,0.955885847
BSU00200,yaaK,0.212011311
BSU00220,yaaL,0.966408439
BSU00230,bofA,0.419437949
BSU00240,csfB,0.852772031
BSU00250,xpaC,0.79185388
BSU00260,yaaN,0.882358891
BSU00270,yaaO,0.101222365
BSU00290,yaaQ,0.554565868
BSU00300,yaaR,0.511267959
BSU00320,yaaT,0.065856683
BSU00340,yabB,0.998269787
BSU00350,yazA,0.946742994
BSU00360,yabC,1.341924667
BSU00390,yabD,1.072955137
BSU00400,yabE,0.853017546
BSU00410,rnmV,0.88507762
BSU00420,ksgA,0.61330927
BSU00430,yabG,0.953829726
BSU00440,veg,0.543031413
BSU00450,sspF,0.567259572
BSU00470,purR,0.722191963
BSU00480,yabJ,1.099821138
BSU00490,spoVG,0.494881346
BSU00520,ctc,1.035264878
BSU00540,yabK,1.015020165
BSU00550,mfd,0.64954057
BSU00560,spoVT,0.139553227
BSU00570,yabM,0.223360431
BSU00580,yabN,0.505785796
BSU00590,yabO,0.664446831
BSU00600,yabP,0.085475843
BSU00610,yabQ,0.239773553
BSU00630,yabR,0.536798426
BSU00650,yabS,0.868743347
BSU00700,coaX,1.06103118
BSU00720,yacD,0.823247079
BSU00730,cysK,0.679399993
BSU00740,pabB,0.784991283
BSU00760,pabC,0.506706395
BSU00800,yazB,0.98748265
BSU00810,dusB,1.054056995
BSU00830,ctsR,0.672453294
BSU00840,mcsA,0.547005829
BSU00850,mcsB,0.589203595
BSU00870,radA,0.265110736
BSU00880,disA,0.202502895
BSU00890,yacL,1.258820288
BSU00930,cysE,0.269455255
BSU00950,mrnC,1.028757819
BSU00960,rlmB,0.593547137
BSU00970,yacP,1.328159319
BSU00980,sigH,0.034926198
BSU00990,rpmGB,0.95948745
BSU01010,nusG,0.656854416
BSU01060,ybxB,0.904680385
BSU01090,rplGB,0.741056414
BSU01140,ybaC,0.966590708
BSU01380,mapA,0.846989576
BSU01389,ybzG,0.84600031
BSU01400,rpmJ,0.150879642
BSU01450,ybxA,1.067567838
BSU01460,ybaE,1.083748602
BSU01470,ybaF,1.004900181
BSU01480,truA,0.953907135
BSU01510,ybaJ,0.383035037
BSU01520,ybaK,1.00667806
BSU01530,cwlD,1.257018745
BSU01550,gerD,0.894802823
BSU01560,kbaA,0.870081731
BSU01570,ybaN,0.185600306
BSU01580,ybaR,1.095863438
BSU01590,ybaS,1.176968826
BSU01600,ybbA,1.076445886
BSU01610,feuC,1.062814811
BSU01620,feuB,1.086789139
BSU01630,feuA,0.977786149
BSU01640,ybbB,0.996473453
BSU01650,ybbC,0.987903356
BSU01660,ybbD,0.928168056
BSU01670,ybbE,0.999938762
BSU01680,ybbF,1.019196332
BSU01690,ybbH,1.113452256
BSU01700,murQ,0.81533975
BSU01710,ybbJ,0.829237803
BSU01720,ybbK,0.911939394
BSU01730,sigW,0.762713
BSU01740,rsiW,0.719241092
BSU01760,ybbR,0.579970082
BSU01800,alkA,0.982431793
BSU01810,adaA,1.022353168
BSU01820,adaB,0.994200622
BSU01830,ndhF,0.740161539
BSU01860,ybcF,1.128449125
BSU01870,ybcH,1.216363542
BSU01880,ybcI,1.11159762
BSU01889,ybzH,0.610032941
BSU01890,ybcL,0.916711392
BSU01900,ybcM,0.936965595
BSU01910,skfA,1.021297716
BSU01920,skfB,1.08596482
BSU01935,skfC,0.760994572
BSU01950,skfE,0.562821683
BSU01960,skfF,0.428794027
BSU01980,skfH,1.16003101
BSU01990,ybdG,0.992861987
BSU02000,ybdJ,0.971150415
BSU02010,ybdK,1.079192471
BSU02019,ybzI,1.056066936
BSU02030,ybdM,0.907231695
BSU02040,ybdN,1.111707184
BSU02050,ybdO,0.946843736
BSU02060,ybxG,0.963190595
BSU02070,csgA,0.900122765
BSU02080,ybxH,1.09381111
BSU02090,ybxI,1.038774147
BSU02100,cypC,0.945064176
BSU02110,ybyB,1.075913809
BSU02120,ybeC,1.092602531
BSU02130,glpQ,1.111481108
BSU02140,glpT,0.9730137
BSU02150,ybeF,1.104766938
BSU02160,ybfA,0.721528495
BSU02170,ybfB,1.030082122
BSU02180,ybfE,1.02192728
BSU02190,ybfF,1.143762266
BSU02200,ybfG,1.003373004
BSU02210,ybfH,0.914620271
BSU02220,ybfI,1.04862408
BSU02230,purT,0.88103562
BSU02240,mpr,1.019344802
BSU02250,ybfJ,1.159122287
BSU02260,ybfK,0.873209231
BSU02270,pssA,0.870834722
BSU02280,ybfM,0.863648159
BSU02290,psd,0.824202471
BSU02300,ybfN,1.255357628
BSU02320,ybfP,1.051626112
BSU02330,ybfQ,0.933983199
BSU02340,gltP,0.96958587
BSU02350,nagP,0.972762744
