gene,category
acoA,biofilm_expression
acoC,biofilm_expression
ald,biofilm_expression
amyC,biofilm_expression
appB,biofilm_expression
appC,biofilm_expression
appF,biofilm_expression
aprX,biofilm_expression
argE,biofilm_expression
asd,biofilm_expression
bioA,biofilm_expression
comER,biofilm_expression
cotN,biofilm_expression
csaA,biofilm_expression
csaA,biofilm_expression
csfB,biofilm_expression
ctaC,biofilm_expression
cwlJ,biofilm_expression
dppD,biofilm_expression
gdh,biofilm_expression
glgA,biofilm_expression
glgP,biofilm_expression
glnH,biofilm_expression
hutH,biofilm_expression
leuC,biofilm_expression
lonB,biofilm_expression
lplD,biofilm_expression
lytD,biofilm_expression
mmgA,biofilm_expression
mmgD,biofilm_expression
mpr,biofilm_expression
msm,biofilm_expression
msmE,biofilm_expression
phoB,biofilm_expression
phrF,biofilm_expression
phrI,biofilm_expression
prkA,biofilm_expression
qcrA,biofilm_expression
qcrB,biofilm_expression
qcrC,biofilm_expression
ribH,biofilm_expression
rocE,biofilm_expression
sipW,biofilm_expression
splB,biofilm_expression
spoIIAA,biofilm_expression
spoIIAB,biofilm_expression
spoIIB,biofilm_expression
spoIIGA,biofilm_expression
srfAA,biofilm_expression
thiA,biofilm_expression
tlp,biofilm_expression
tuaG,biofilm_expression
wprA,biofilm_expression
yabS,biofilm_expression
ybcO,biofilm_expression
ybcP,biofilm_expression
ybcQ,biofilm_expression
ybcS,biofilm_expression
ybdA,biofilm_expression
ybdB,biofilm_expression
ybxH,biofilm_expression
ycgL,biofilm_expression
ycgM,biofilm_expression
ycgN,biofilm_expression
ydjP,biofilm_expression
yhaA,biofilm_expression
yhcO,biofilm_expression
yisC,biofilm_expression
yisG,biofilm_expression
yisS,biofilm_expression
yitA,biofilm_expression
yjdK,biofilm_expression
yjmJ,biofilm_expression
ykfA,biofilm_expression
yknV,biofilm_expression
ykrQ,biofilm_expression
ykuU,biofilm_expression
ykuV,biofilm_expression
ylbD,biofilm_expression
yoaW,biofilm_expression
yodH,biofilm_expression
yppD,biofilm_expression
ypuC,biofilm_expression
yqcI,biofilm_expression
yraE,biofilm_expression
ysnD,biofilm_expression
ytcA,biofilm_expression
ytcB,biofilm_expression
ytfJ,biofilm_expression
ythA,biofilm_expression
ytlA,biofilm_expression
ytlB,biofilm_expression
ytxO,biofilm_expression
yuiB,biofilm_expression
yvaX,biofilm_expression
yveM,biofilm_expression
yveN,biofilm_expression
yveO,biofilm_expression
yveP,biofilm_expression
yveQ,biofilm_expression
yveR,biofilm_expression
yxnB,biofilm_expression
yyaC,biofilm_expression
yydG,biofilm_expression
yydJ,biofilm_expression
ampS,biofilm_SW
bslA,biofilm_SW
cheA,biofilm_SW
cheD,biofilm_SW
cheV,biofilm_SW
cheY,biofilm_SW
degQ,biofilm_SW
degU,biofilm_SW
dhbA,biofilm_SW
dhbB,biofilm_SW
dhbC,biofilm_SW
epsA,biofilm_SW
epsB,biofilm_SW
epsC,biofilm_SW
epsD,biofilm_SW
epsE,biofilm_SW
epsF,biofilm_SW
epsG,biofilm_SW
epsH,biofilm_SW
epsI,biofilm_SW
epsJ,biofilm_SW
epsK,biofilm_SW
epsL,biofilm_SW
epsM,biofilm_SW
epsN,biofilm_SW
epsO,biofilm_SW
flgE,biofilm_SW
fliF,biofilm_SW
floT,biofilm_SW
ftsH,biofilm_SW
galE,biofilm_SW
gpsA,biofilm_SW
hag,biofilm_SW
hemAT,biofilm_SW
kinC,biofilm_SW
kinD,biofilm_SW
luxS,biofilm_SW
menH,biofilm_SW
motA,biofilm_SW
mstX,biofilm_SW
ptkA,biofilm_SW
ptpZ,biofilm_SW
remA,biofilm_SW
remB,biofilm_SW
rny,biofilm_SW
rqcH,biofilm_SW
sdhC,biofilm_SW
sfp/1,biofilm_SW
sfp/2,biofilm_SW
sigD,biofilm_SW
sinI,biofilm_SW
sinR,biofilm_SW
