gene,category
spoIVA,spore_coat
spoVID,spore_coat
spoVM,spore_coat
yaaH,spore_coat
yhaX,spore_coat
yuzC,spore_coat
cotE,spore_coat
cotM,spore_coat
cotO,spore_coat
yheD,spore_coat
yhjR,spore_coat
yknT,spore_coat
yncD,spore_coat
cotZ,spore_coat
cwlJ,spore_coat
yisY,spore_coat
ysxE,spore_coat
yutH,spore_coat
cotT,spore_coat
ysnD,spore_coat
yybI,spore_coat
cotA,spore_coat
cotB,spore_coat
cotG,spore_coat
cotP,spore_coat
cotQ,spore_coat
cotS,spore_coat
cotW,spore_coat
lipC,spore_coat
oxdD,spore_coat
tgl,spore_coat
yeeK,spore_coat
yjqC,spore_coat
yjzB,spore_coat
ylbD,spore_coat
ymaG,spore_coat
yppG,spore_coat
ytxO,spore_coat
yxeE,spore_coat
cotD,spore_coat
cotU,spore_coat
cgeA,spore_coat
cgeB,spore_coat
cgeC,spore_coat
cgeD,spore_coat
cgeE,spore_coat
cmpA,spore_coat
cotC,spore_coat
cotF,spore_coat
cotH,spore_coat
cotI,spore_coat
cotJA,spore_coat
cotJB,spore_coat
cotJC,spore_coat
cotR,spore_coat
cotSA,spore_coat
cotV,spore_coat
cotX,spore_coat
cotY,spore_coat
gerQ,spore_coat
gerR,spore_coat
gerT,spore_coat
ldt,spore_coat
safA,spore_coat
spsB,spore_coat
yabG,spore_coat
ydhD,spore_coat
ygaK,spore_coat
yhbB,spore_coat
yheC,spore_coat
yisJ,spore_coat
yjdH,spore_coat
ykvP,spore_coat
yobN,spore_coat
yodI,spore_coat
ypeP,spore_coat
yqfT,spore_coat
ywqH,spore_coat
yraD,spore_coat
yraE,spore_coat
yraF,spore_coat
yraG,spore_coat
yvdQ,spore_coat
sspA,acid_soluble
sspB,acid_soluble
sspC,acid_soluble
sspD,acid_soluble
sspE,acid_soluble
sspF,acid_soluble
sspG,acid_soluble
sspH,acid_soluble
sspI,acid_soluble
sspJ,acid_soluble
sspK,acid_soluble
sspL,acid_soluble
sspM,acid_soluble
sspN,acid_soluble
sspO,acid_soluble
sspP,acid_soluble
adhB,other
asd,other
asnO,other
azoR2,other
bdbC,other
bdbD,other
bofA,other
bofC,other
ccpB,other
cdaS,other
chaA,other
clpC,other
coxA,other
csbX,other
csfB,other
ctaA,other
ctpB,other
cwlC,other
cwlD,other
cwlH,other
dacB,other
dacF,other
dapA,other
dapG,other
divIB,other
divIC,other
exoA,other
exuR,other
exuT,other
fabL,other
fin,other
fisB,other
ftsY,other
glcU,other
glgA,other
glgB,other
glgC,other
glgD,other
glgP,other
glnH,other
glnM,other
glnP,other
glnQ,other
hbuT,other
htrC,other
ispG,other
kamA,other
katX,other
ligD,other
lonB,other
lysA,other
lytH,other
mbl,other
mcsA,other
mcsB,other
mmgA,other
mmgB,other
mmgC,other
mmgD,other
mmgE,other
mmgF,other
murB,other
murG,other
pbpF,other
pbpG,other
pbpI,other
pdaA,other
pdaB,other
pghL,other
phoB,other
phoP,other
phoR,other
prkA,other
refZ,other
rppH,other
rsfA,other
sbp,other
scoA,other
scoB,other
seaA,other
sigF,other
sigG,other
sigK,other
sigKC,other
sodF,other
splA,other
splB,other
spmA,other
spmB,other
spoIIAA,other
spoIIAB,other
spoIID,other
spoIIIAA,other
spoIIIAB,other
spoIIIAC,other
spoIIIAD,other
spoIIIAE,other
spoIIIAF,other
spoIIIAG,other
spoIIIAH,other
spoIIID,other
spoIIM,other
spoIIP,other
spoIIQ,other
spoIIR,other
spoIISA,other
spoIVB,other
spoIVCA,other
spoIVFA,other
spoIVFB,other
spoVAA,other
spoVAB,other
spoVAC,other
spoVAF,other
spoVB,other
spoVD,other
spoVE,other
spoVFA,other
spoVFB,other
spoVIF,other
spoVK,other
spoVR,other
spoVT,other
spoVV,other
sprB,other
spsA,other
spsC,other
spsD,other
spsE,other
spsF,other
spsG,other
spsI,other
spsJ,other
spsK,other
spsL,other
sqhC,other
sscA,other
ssdC,other
stoA,other
tlp,other
tuaF,other
tuaG,other
tuaH,other
usd,other
uxaA,other
uxaB,other
uxuA,other
yabP,other
yabQ,other
yabR,other
yabT,other
ybaK,other
ybxH,other
ycgF,other
ycgG,other
yckC,other
yckD,other
ydcA,other
ydfR,other
ydfS,other
ydgA,other
ydgB,other
ydhF,other
ydjP,other
yeaA,other
yesJ,other
yesK,other
yfhD,other
yfhE,other
yfhS,other
yfkD,other
yfnD,other
yfnE,other
yfnF,other
yfnG,other
yfnH,other
yhaL,other
yhbH,other
yhcM,other
yhcO,other
yhcQ,other
yhcV,other
yhfM,other
yhfW,other
yhxC,other
yisZ,other
yitA,other
yitB,other
yitC,other
yitD,other
yitF,other
yitG,other
yjaV,other
yjbA,other
yjcA,other
yjfA,other
yjmC,other
yjmD,other
yjmF,other
ykoV,other
ykvI,other
ykvQ,other
ylbB,other
ylbC,other
ylbE,other
ylmC,other
yloB,other
ylxW,other
ylxX,other
ylyA,other
ymxH,other
yndA,other
yngE,other
yngF,other
yngG,other
yngH,other
yngHB,other
yngI,other
yngJ,other
yoaR,other
yoaW,other
yobW,other
yocL,other
yodH,other
yodP,other
yodQ,other
yodR,other
yodS,other
yodT,other
yokU,other
yozQ,other
ypfB,other
yphA,other
ypjB,other
ypqA,other
ypzA,other
ypzF,other
yqcK,other
yqfC,other
yqfD,other
yqfQ,other
yqfX,other
yqfZ,other
yqhG,other
yqhH,other
yqhP,other
yqhQ,other
yqjC,other
yqxA,other
yqzG,other
yrkC,other
yrrD,other
yrrS,other
ytcB,other
ytcC,other
yteA,other
yteV,other
ytfI,other
ytlA,other
ytlC,other
ytlD,other
ytrH,other
ytrI,other
ytvI,other
ytxC,other
yuiC,other
yurS,other
yusN,other
yuzA,other
yveA,other
ywcA,other
ywcB,other
ywjD,other
ywjE,other
ywnJ,other
ywrJ,other
yxeD,other
yxjF,other
yyaC,other
yyaD,other
disA,other
floT,other
jag,other
parA,other
parB,other
rodZ,other
spo0M,other
spoIIB,other
spoIIGA,other
spoIIIE,other
spoIIIL,other
spoIISB,other
spoIIT,other
spoVG,other
spoVS,other
yidC1,other
ytaF,other
ytrA,other
ywcE,other
ywrA,other
bpsA,transcribed
bpsB,transcribed
citH,transcribed
comER,transcribed
cypA,transcribed
fadM,transcribed
lplD,transcribed
mciZ,transcribed
mstX,transcribed
namZ,transcribed
nrnB,transcribed
yaaC,transcribed
yabS,transcribed
ybeF,transcribed
ybfJ,transcribed
ycgH,transcribed
ycgI,transcribed
ycgL,transcribed
yclG,transcribed
ydzH,transcribed
ydzR,transcribed
yetF,transcribed
yetO,transcribed
yezF,transcribed
yflJ,transcribed
yflN,transcribed
yfmA,transcribed
ygzA,transcribed
ygzC,transcribed
yhcT,transcribed
yhdB,transcribed
yhdC,transcribed
yheF,transcribed
yhfA,transcribed
yhfN,transcribed
yhjQ,transcribed
yhzF,transcribed
yisN,transcribed
yitE,transcribed
yitQ,transcribed
yizC,transcribed
yizD,transcribed
yjaU,transcribed
yjaZ,transcribed
yjbE,transcribed
yjcZ,transcribed
yjnA,transcribed
yjzC,transcribed
yjzK,transcribed
ykjA,transcribed
ykoN,transcribed
ykoP,transcribed
ykoQ,transcribed
ykoS,transcribed
ykoT,transcribed
ykoY,transcribed
