Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
A,SigE+,alkA,BSU01800,0,0.2,-0.1,2.4,2.8,2.8,2.5,2.4,2.6,0.5,0.4,0.6
A,SigE+,bdbC,BSU33470,0,-0.6,0.7,-0.9,-1.5,-2,-2.2,-2.3,-3.4,0.1,-0.6,-0.3
A,SigE+,bdbD,BSU33480,0,-0.3,0.9,-0.7,-1.1,-1.8,-2.9,-2.4,-3.4,0,-0.2,0.1
A,SigE+,comER,BSU25600,0,0.2,1.2,7.6,8.2,8.6,7.5,7.5,6.9,0.1,0.1,0.1
A,SigE+,cotE,BSU17030,0,-0.4,2.4,7.6,7.7,7.7,7.6,7.7,7.6,0.4,0.2,1
A,SigE+,cotH,BSU36060,0,0,0.1,2.5,2.8,5.4,6.5,5.9,5.9,0.2,0.3,0.4
A,SigE+,cotO,BSU11730,0,-1.1,0.6,5.5,6.4,6.4,6.4,6.3,6.3,1,0.5,0.9
A,SigE+,coxA,BSU27830,0,-1.4,-1.6,1.2,2.3,4.5,4.6,4.1,4.7,-2.4,-2.9,-2.6
A,SigE+,cspR,BSU08930,0,-1.3,-1.7,1,1.4,1.3,1.2,0.9,1,1,0.6,1.3
A,SigE+,ctaA,BSU14870,0,-3.1,0,-2,-1.6,-1.8,-1.1,-1.2,-1.1,-0.8,-1.3,-1.1
A,SigE+,ctpA,BSU19590,0,0.2,0.6,1.3,1.1,0.8,0.3,0.5,0.2,0.6,0.4,0.6
A,SigE+,ctpB,BSU35240,0,-0.1,0.8,5.1,6.1,6.1,5.8,5.8,5.9,1.4,1.2,1.4
A,SigE+,gerQ,BSU37920,0,-0.1,2.3,8.6,8.9,8.9,8.5,8.6,8.2,0.3,0.2,0.7
A,SigE+,glgA,BSU30950,0,0.2,4.6,5.8,5.5,5.1,4.6,4.2,4,0.2,0.4,0.3
A,SigE+,glgB,BSU30980,0,0.5,5.2,6.4,6.4,6.1,5.4,5.3,5,0.8,0.9,1
A,SigE+,glgC,BSU30970,0,0.3,5.1,6.3,6.1,5.9,5.4,5,4.8,0.8,0.6,0.7
A,SigE+,glgD,BSU30960,0,0.2,4.8,6,5.7,5.4,4.9,4.5,4.3,0.1,0.3,0.3
A,SigE+,glgP,BSU30940,0,0.1,4.4,5.5,5.2,4.7,4.1,4,3.6,0.4,0.4,0.4
A,SigE+,glnH,BSU27440,0,0.1,2,7.9,8.1,8.5,8,7.3,7.6,0.1,-0.1,0
A,SigE+,glnM,BSU27450,0,0.1,0.9,6.2,6.3,6.5,6.6,5.6,6.3,0.1,0.1,0
A,SigE+,glnP,BSU27460,0,0.1,0.9,5.9,5.9,6.2,6.2,5.1,5.8,0,0,0
A,SigE+,glnQ,BSU27430,0,0,2.1,7.8,8.1,8.5,8,7.3,7.5,0.1,0,0.2
A,SigE+,glpK,BSU09290,0,-1.7,-1.4,-0.7,-0.4,-0.5,0.3,-0.1,0.5,-0.5,1.6,-1.4
A,SigE+,ispE,BSU00460,0,0.3,0.2,-0.5,-1.7,-2.4,-1.7,-1,-0.9,1.8,1.7,1.9
A,SigE+,kamA,BSU19690,0,-0.1,0.5,6.2,7,7.7,7.7,7.2,7.6,-0.3,-0.3,-0.3
