Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
A,SigK+,acoA,BSU08060,0,-1.3,1,4,6.2,4.6,4.4,4.5,4.6,-1.1,-0.9,-0.9
A,SigK+,acoB,BSU08070,0,-1.2,0.7,3.8,5.9,4.6,4.3,4.6,4.6,-1.3,-0.9,-1
A,SigK+,acoC,BSU08080,0,-1,0.4,3.3,5.5,4.4,4.1,4.2,4.5,-1.1,-0.4,-0.4
A,SigK+,acoL,BSU08090,0,-1.1,0.3,3.1,5.3,4.1,3.8,4,4.3,-0.5,-0.2,-0.1
A,SigK+,asd,BSU16750,0,0.4,0.1,-0.3,-0.6,1.2,2.3,2.1,2,-0.3,-0.2,-0.3
A,SigK+,cotS,BSU30900,0,0,-0.1,0,-0.1,2.4,6.8,7.7,7.5,0.1,0.3,0.3
A,SigK+,dapA,BSU16770,0,-0.6,-0.9,-1,-1.3,-0.3,1,1,0.9,0.1,0,-0.1
A,SigK+,dapG,BSU16760,0,-0.7,-0.8,-0.9,-1.4,0,1.6,1.5,1.5,0.2,0.2,0.2
A,SigK+,dra ,BSU39420,0,-0.7,-0.9,-2.4,-2.6,-2.3,-2.6,-2.9,-3,0.3,0.4,0.3
A,SigK+,gerE,BSU28410,0,-0.5,-1.7,-1.3,-1.6,2.8,4.6,4.7,4.8,-1,-0.8,-1.4
A,SigK+,gntK,BSU40060,0,-0.8,-1.8,-1.8,-2.1,-2.4,-2.5,-2.7,-3.1,1,1.9,0.5
A,SigK+,gntP,BSU40070,0,-1.3,-2.3,-3.1,-3.5,-3.8,-4,-4.1,-4.4,0.6,1.5,-0.1
A,SigK+,gntR,BSU40050,0,0.7,-0.2,-0.6,-0.8,-0.9,-1.2,-1,-1.3,2.3,3.1,1.9
A,SigK+,gntZ,BSU40080,0,-2,-2.6,-2.3,-2.4,-3.1,-3.3,-3.2,-4.2,1.3,1.6,1.2
A,SigK+,guaC,BSU32130,0,0.3,-2,-1.2,0,-1.7,-2,-1.9,-1.4,1.6,1.1,1.8
A,SigK+,lytH,BSU32340,0,-0.4,-0.5,0.5,3.1,6.1,5.7,5.5,5.7,0.4,0.9,0.9
A,SigK+,malL,BSU34560,0,-1.1,-0.4,0.5,0.2,0.1,0.3,0.3,0.4,-0.8,-0.2,-0.7
A,SigK+,mdxE,BSU34610,0,-0.4,0.2,-0.6,-0.7,-0.5,0.3,1,2,-1.3,-0.3,-1.1
A,SigK+,mdxG,BSU34590,0,-0.7,-0.3,-1.1,-1.1,-1.1,-0.6,-0.3,0.6,-1,0,-0.8
A,SigK+,nupC,BSU39410,0,-1,-1.4,-2.7,-2.7,-2.5,-2.3,-2.6,-2.9,0.5,0.3,0.1
A,SigK+,pdp,BSU39400,0,-1.2,-1.5,-2.7,-2.8,-2.5,-2.1,-2.5,-2.8,0.1,-0.1,-0.3
A,SigK+,pgcM,BSU34550,0,-1.1,-0.3,0.5,0.3,0.3,0.8,0.8,0.9,-0.5,-0.1,-0.5
A,SigK+,proJ,BSU18470,0,0.6,1.3,3.8,4,3.9,3.4,2.7,3,1.2,1.1,1.2
A,SigK+,racE,BSU28390,0,-0.2,-0.3,-0.5,-0.9,0,1.5,1.4,1.4,1.1,0.9,1
A,SigK+,ribH,BSU23250,0,2.5,0,0.3,0.2,0.5,1.8,2,2.1,0.9,1.7,0.6
A,SigK+,rnc,BSU15930,0,-1.3,-0.9,-1.4,-1.7,-2.1,-2.7,-2.7,-3.2,0.2,-0.2,-0.1
A,SigK+,rny,BSU16960,0,0.2,0,-0.1,-0.7,-1.2,-1.7,-1.7,-2.1,0.1,0,-0.1
A,SigK+,smc,BSU15940,0,-1.4,-1.1,-1.6,-2.1,-2.4,-2.9,-2.7,-2.8,1.3,1.1,1.4
A,SigK+,spoIISA,BSU12830,0,0.1,0.6,1.6,1.9,1.8,2,1.7,1.7,0.8,0.4,0.9
A,SigK+,spoVFA,BSU16730,0,0.3,-0.3,2,2.1,7,8.5,8.3,8.2,1.4,0.9,1.5
A,SigK+,spoVFB,BSU16740,0,0.2,-0.3,2.3,2.4,7.1,8.6,8.3,8.2,1.2,1,1.5
A,SigK+,thiV,BSU13230,0,-2.5,-2.1,-2.4,-2.9,-3.1,-4,-4.1,-5.9,-5.5,-5.1,-5.2
A,SigK+,thiW,BSU13220,0,-2.4,-2.2,-2.3,-2.9,-3.1,-3.9,-4,-5.5,-5.1,-5.2,-5.2
A,SigK+,thiX ,BSU13210,0,-2.5,-2.4,-2.7,-3.2,-3.4,-4.1,-4.5,-5.8,-4.8,-4.9,-4.9
A,SigK+,yfnD,BSU07310,0,0.4,-0.2,1,0.8,3.3,5.7,5.9,6.2,1.8,1.3,1.7
A,SigK+,yfnE,BSU07300,0,0.3,-0.3,1.3,1.1,3.6,6,6.2,6.6,1.3,0.9,1.1
A,SigK+,yfnF,BSU07290,0,0.4,-0.2,0.5,0,0.1,3.6,5.6,6.5,1,0.8,1
A,SigK+,yfnG,BSU07280,0,0.4,-0.2,0.5,0,0.1,3.8,5.9,6.8,0.7,0.8,1.2
A,SigK+,yhcO,BSU09165,0,0.1,-0.4,1.8,1.6,3,5.7,6.1,6.3,0,-0.8,-0.3
A,SigK+,yhjQ,BSU10600,0,-0.3,-0.2,2.6,2.9,4,4.3,4.3,4.5,0,0.1,0.1
A,SigK+,yisI,BSU10730,0,1.1,3.3,2.6,3,3.7,4.3,3.9,4.1,-0.6,-0.9,-0.6
A,SigK+,yisJ,BSU10740,0,-0.1,0.2,0.1,0.2,4.3,5.5,5,4.6,0,0,0
A,SigK+,yitE,BSU10960,0,0,0.9,4,3,3.1,2.3,2.8,2.7,0,0.1,-0.1
A,SigK+,yjqC,BSU12490,0,-0.9,-1,-1.7,-1.9,1.9,3.9,3.8,3.1,0.6,0.4,0.5
A,SigK+,yjzB,BSU11320,0,0.2,0.3,0.4,0.9,1.4,5,6.7,7.4,0.8,0.5,0.8
A,SigK+,ykoF,BSU13240,0,-2.2,-2.1,-2.3,-2.7,-3,-4.2,-4,-5.8,-5.4,-5.3,-5.3
A,SigK+,ykoW,BSU13420,0,-0.6,-0.9,-1.7,-1.6,-1.4,-1.2,-2.1,-1.7,-2.3,-2.2,-2.2
A,SigK+,ykoY,BSU13440,0,0.2,0.2,0.8,0.9,2,2.7,2.7,2,0.8,0.7,0.6
A,SigK+,ykvQ,BSU13790,0,0.7,0.1,0,-0.9,-0.3,2.5,3.5,4.3,1.1,1,1.1
A,SigK+,ykzH,BSU13050,0,0.1,0,0.1,0.2,1.4,4.2,3.3,4.1,0.2,0.3,0.4
A,SigK+,ykzI,BSU14660,0,-2.8,-2.2,-1.8,-1.6,0.8,4,4.1,4.3,-2.2,-2.6,-2.4
A,SigK+,ylbE,BSU14980,0,0.2,-0.1,0.5,0.6,4.4,6.8,7,7.1,1.1,1,1
A,SigK+,ymdB,BSU16970,0,-0.9,-1,-1.1,-1.9,-2.5,-2.6,-2.6,-3.4,0.5,0.5,0.6
A,SigK+,ymfI,BSU16870,0,-1.6,-1.9,0,0,0.1,0.2,-0.1,-0.1,1.3,1.1,1.2
A,SigK+,yojC,BSU19500,0,0.2,0.1,1.2,1.4,5.9,7.5,7.2,7.2,0.2,0.3,0.3
A,SigK+,yojK,BSU19420,0,0.4,0.2,0,-0.1,-0.2,-0.2,-0.1,0,-0.1,-0.1,-0.8
A,SigK+,ypbH,BSU22970,0,1.3,0.7,0.4,0.1,2.1,3.6,3.5,3.6,0.2,0.1,0.2
A,SigK+,yppG,BSU22250,0,0.5,0.4,2.6,3.6,5.3,7.3,7.6,7.7,0.7,0.6,0.8
A,SigK+,ypqA,BSU22240,0,0.2,0.3,0.8,1,5.2,7.1,7.3,7.3,0.3,0.3,0.3
A,SigK+,ypqP,BSU21670,0,1.1,0.5,0.3,-0.6,-0.8,2,3.3,3.6,0.4,0.1,0.1
A,SigK+,yqaB,BSU26380,0,0.9,0.6,0.1,0.2,-0.1,-0.1,0.6,1,1.2,1.2,1.6
A,SigK+,yqcI,BSU25820,0,0.5,0.2,1,1.4,6.5,7.6,7.8,7,0.7,0.6,0.8
A,SigK+,yrhA,BSU27260,0,1.8,-0.7,-0.3,-0.5,1.3,2.6,1.3,1.8,1.4,1.2,1.6
A,SigK+,yrpC,BSU26810,0,0.6,0.3,-0.7,-1,-1.2,-1.2,-0.2,0,1.2,1.1,1.6
A,SigK+,yrzA,BSU27290,0,-0.5,0.1,-0.4,0.2,1.1,2.4,2,1.6,-0.9,-0.9,0.8
A,SigK+,ysmB,BSU28400,0,0.2,-0.2,-0.3,-0.7,0.3,1.5,1.7,1.4,1.1,1.1,1.4
A,SigK+,ytaA,BSU30920,0,0.7,0.1,1,3,5.4,7.4,8,8,0.3,0.2,0.3
A,SigK+,ytcA,BSU30860,0,0.2,-0.1,0.3,0.3,5.8,8.2,8.1,7.8,-0.1,-0.1,0
A,SigK+,ytcB,BSU30870,0,0.1,-0.1,0.4,0.4,5.4,7.9,7.7,7.5,0,-0.1,0
A,SigK+,ytcC ,BSU30880,0,0.1,-0.1,0.4,0.4,5.4,7.8,7.6,7.4,0,-0.1,-0.1
A,SigK+,ytdA,BSU30850,0,0.1,-0.1,1.1,1.9,4.2,6.2,6.1,6.3,0.1,0.2,0.1
A,SigK+,ytlR,BSU29940,0,-0.4,-0.9,-1.2,-1.1,0.3,1.5,1.1,0.6,-0.8,-0.7,-0.8
A,SigK+,ytvB,BSU30330,0,0.3,0.8,0.9,1.1,2.6,4.8,4.3,4.8,0.3,0.3,0.5
A,SigK+,ytwI,BSU29150,0,-1.9,-2.5,-1.7,-1.4,0.6,1.9,1.4,1.3,0.6,0.4,0.5
A,SigK+,ytxO,BSU30890,0,-0.2,-0.1,0.1,0.5,2.6,6.8,7.8,7.7,0.7,0.4,0.5
A,SigK+,yueG,BSU31790,0,0.3,0,-0.2,-0.2,3.6,5.3,5.4,5.3,1.3,1.1,1.3
A,SigK+,yunB,BSU32350,0,-0.4,-0.6,3.3,3.4,3,4.2,3.9,4,1.8,1.5,1.6
A,SigK+,yuzF,BSU31820,0,1.6,0.8,1.1,0.7,2.7,4.9,5.1,5.3,0.5,0.2,0.4
A,SigK+,yvdE,BSU34630,0,0.6,1.1,0.1,-0.1,-0.3,-0.1,-0.5,-0.3,-0.7,-0.7,-0.6
A,SigK+,yvdF,BSU34620,0,0.1,0.6,-0.3,-0.4,-0.5,-0.1,-0.2,0.4,-0.8,-0.3,-0.8
A,SigK+,yvdJ,BSU34580,0,-0.8,-0.3,-1.2,-1.4,-1.4,-1,-0.1,0.7,-0.9,-0.1,-0.9
A,SigK+,yvdK,BSU34570,0,-0.8,-0.3,-1.2,-1.2,-1.2,-0.9,-0.5,0.1,-0.8,-0.1,-0.7
A,SigK+,yvdO,BSU34530,0,0.7,0.2,2.1,1.7,2,5.2,5.3,6.2,0.5,0.3,0.4
A,SigK+,yvgO,BSU33410,0,-1.4,0,-0.7,-0.8,-0.8,0,-1.2,-1,-1.9,-1.7,-1.7
A,SigK+,ywdC,BSU38010,0,2,1.7,1.2,0.8,1.2,0.1,0.3,-0.7,1.5,1.4,1.4
A,SigK+,ywkF,BSU36990,0,-0.6,-1.6,-1,-0.7,1.2,3.2,2.8,2.9,1.8,1.3,1.7
A,SigK+,ywnF,BSU36580,0,0.9,1.2,2.5,2.3,2.9,3.7,3.5,3.2,0.9,0.8,1.1
A,SigK+,ywrJ,BSU36040,0,0.5,0.3,1.7,2.1,5,7.5,7.5,7.2,0.6,0.5,0.7
A,SigK+,ywrK,BSU36030,0,0.1,-0.4,0.1,-1.1,-1,3.1,4.8,5.7,0.3,-0.4,-0.1
A,SigK+,yyaO,BSU40790,0,0.4,0.7,0.2,0.4,0.2,0.3,0.9,1.5,0.5,0.2,0.7
B,SigG+,acoR,BSU08100,0,0.9,0.4,0.2,0.8,1.3,1.7,1.6,1.8,-1.4,0,-1.5
B,SigG+,adhB,BSU26970,0,-0.1,-0.1,2.1,4.8,5.9,5.3,5.7,5.6,0.1,0,0.1
B,SigG+,bpsA,BSU22050,0,-0.4,-0.5,1.9,3.6,4,3.9,4.1,4.3,-0.3,-0.1,0.1
B,SigG+,ccpB,BSU40870,0,0,0.4,-0.3,-0.6,-0.8,-1.1,-1.2,-1.3,0.1,0.4,0.4
B,SigG+,chaA,BSU07920,0,-1.6,-1.5,1.1,1.4,1.5,1.8,0.9,0.9,-1.6,-1.4,-1.4
B,SigG+,csbX,BSU27760,0,-1,-0.7,-1.5,-1.5,-1.1,-1.4,-1.7,-2.5,-2.2,-1.2,-2.6
B,SigG+,csfG,no locus tag,0,-0.7,-1,-1.1,-0.8,-1.7,-1.7,-1.3,-1.3,0.6,0.3,0.5
B,SigG+,dnaA,BSU00010,0,1.2,0.2,-1.1,-1.6,-2.2,-3,-2.8,-3.6,1.6,1.6,1.7
B,SigG+,dnaN,BSU00020,0,0.8,-0.5,-1.7,-2.2,-2.7,-3.1,-3.3,-3.6,1.5,1.5,1.5
B,SigG+,exoA,BSU22010,0,-0.1,-0.2,-0.3,-0.4,-1.3,-1,-0.5,-0.4,1,0.6,1
B,SigG+,gerD,BSU01550,0,-0.1,0.3,3.6,5.4,6.5,6.3,6.3,6.8,0.7,0.7,0.9
B,SigG+,gpr,BSU25540,0,-0.3,-0.1,4.3,4.8,4.6,4.8,4.5,4.7,-0.3,-0.2,-0.2
B,SigG+,lytD,BSU35780,0,-0.5,-1.3,-3,-3.2,-3,-3.2,-4.1,-3.8,-3.1,-2.9,-3.1
B,SigG+,mutY,BSU08630,0,-0.4,-0.8,-1.5,-1.8,-2.1,-0.9,-1.5,-1.1,1.6,1.6,1.5
B,SigG+,nfo,BSU25130,0,-1,-1,-1,-1.3,-2.3,-2.4,-1.8,-2.3,0.9,0.4,0.6
B,SigG+,pbpF,BSU10110,0,-0.9,-0.8,0,1.1,1,1.7,1.4,1.5,1.4,1.2,1.4
