Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
A,SigH+,abn2,BSU39330,0,1.1,2.3,0.6,0.7,0.5,0.9,0.5,0.1,-3.1,-2.8,-3
A,SigH+,bacA,BSU37740,0,4.4,3.5,2.5,1.2,0.6,-1,-0.9,-0.5,-1.7,-1.7,-1.8
A,SigH+,bacB,BSU37730,0,3.3,2.8,2,0.7,0,-1,-1.6,-2,-2.2,-1.4,-1.8
A,SigH+,bacC,BSU37720,0,3.7,3,2.3,1,0.3,-0.8,-1.2,-1.7,-1.9,-0.9,-1.3
A,SigH+,bacD,BSU37710,0,3.2,2.5,1.6,0.4,-0.4,-1.2,-1.8,-2.2,-1.5,-0.9,-1.3
A,SigH+,bacE,BSU37700,0,2.7,1.9,0.9,-0.4,-1.1,-2,-2.4,-2.6,-1.2,-0.7,-1
A,SigH+,bacF,BSU37690,0,2.4,1.7,0.6,-0.6,-1.1,-1.5,-2.1,-2.3,-1.2,-0.9,-0.9
A,SigH+,bsaA,BSU21900,0,1.6,2,0.6,0,-0.3,-1.7,-1.4,-1.6,-0.7,-0.4,-0.3
A,SigH+,ccdA,BSU17930,0,1,2.1,2.3,1.9,1.6,0.9,0.7,-0.3,1.2,0.9,1.1
A,SigH+,citG,BSU33040,0,0.3,0.6,-0.5,-0.8,-1.3,-2.4,-1.4,-2.8,-1.1,-1,-1
A,SigH+,cwlS,BSU19410,0,0.6,1.5,-0.1,-0.5,-1.6,-2.9,-3.1,-4.1,-4.1,-3.5,-3.7
A,SigH+,dacC,BSU18350,0,0.5,1.8,0.9,0.6,0.3,0.2,0.1,0.1,-3.3,-2.9,-3.2
A,SigH+,epsA,BSU34370,0,0.1,1.7,2.7,2.3,0.8,-1.9,-2.2,-2.1,-1.9,-1,-1.9
A,SigH+,epsB,BSU34360,0,0,1.8,2.7,2.1,1,-0.7,-1.6,-1.6,-1.8,-1.2,-1.8
A,SigH+,epsC,BSU34350,0,0,1.6,1.9,0.8,-0.4,-2,-2.2,-2.2,-1.4,-0.6,-1
A,SigH+,epsD,BSU34340,0,-0.5,1.1,1.5,0.5,-1.2,-2.8,-2.9,-3,-2,-1.3,-1.6
A,SigH+,epsE,BSU34330,0,-0.8,0.8,1.2,0.3,-1.5,-2.9,-3,-3.1,-2.2,-1.4,-1.8
A,SigH+,epsF,BSU34320,0,-1,0.4,0.8,-0.3,-1.8,-2.6,-2.7,-2.8,-2,-1.5,-1.7
A,SigH+,epsG,BSU34310,0,-1.1,0.1,0.5,-0.5,-2.1,-2.8,-3,-3,-2.1,-1.4,-1.8
A,SigH+,epsH,BSU34300,0,-1.3,0,0.5,-0.6,-2.2,-2.9,-3.1,-3.1,-2.4,-1.6,-2
A,SigH+,epsI,BSU34290,0,-1.4,0,0.3,-0.7,-2.3,-3.2,-3.5,-3.4,-2.7,-2,-2.4
A,SigH+,epsJ,BSU34280,0,-1.4,-0.2,0.2,-0.9,-2.4,-3.1,-3.4,-3.5,-2.7,-2,-2.3
