Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
A,Spo0A-,cheA,BSU16430,0,-0.5,-2.1,-3.6,-4.2,-4.8,-4.9,-5.4,-5.6,-2.5,-1.8,-2.4
A,Spo0A-,cheB,BSU16420,0,-0.5,-2.2,-3.8,-4.4,-4.8,-5,-5.3,-5.4,-2.4,-1.7,-2.3
A,Spo0A-,cheC,BSU16450,0,-0.9,-2.2,-3.8,-4.4,-4.8,-5,-5.4,-5.4,-2.5,-1.7,-2.4
A,Spo0A-,cheD,BSU16460,0,-0.8,-2.1,-3.8,-4.4,-4.9,-5.1,-5.5,-5.5,-2.5,-1.9,-2.4
A,Spo0A-,cheW,BSU16440,0,-0.7,-2.1,-3.6,-4.2,-4.7,-5,-5.5,-5.7,-2.5,-1.9,-2.5
A,Spo0A-,cheY,BSU16330,0,-0.1,-2.1,-3.4,-3.8,-4.5,-4.6,-5,-5.9,-2.8,-2.1,-2.8
A,Spo0A-,comZ,BSU11310,0,-1,-1.1,-1.5,-1.5,-2.1,-2.6,-1.8,-1.1,0.3,0,0.5
A,Spo0A-,divIVA,BSU15420,0,0.8,0.6,-0.2,-0.6,-1.1,-1.9,-1.1,-2.2,0.5,0.3,0.6
A,Spo0A-,dltA,BSU38500,0,-1.3,-3.2,-4.2,-4.7,-4.3,-3,-3.9,-3.8,0.4,0.7,0.5
A,Spo0A-,dltB,BSU38510,0,-1.6,-3.7,-5.1,-5.9,-5.6,-4.6,-5.4,-5.1,0.2,0.5,0.2
A,Spo0A-,dltC,BSU38520,0,-1.9,-4,-5.5,-6.3,-6.4,-5.6,-6.7,-6.4,0.1,0.4,0.1
A,Spo0A-,dltD,BSU38530,0,-2.2,-4.1,-5.7,-6.5,-6.6,-5.9,-6.7,-6.2,0,0.3,0
A,Spo0A-,dltE,BSU38540,0,-2.3,-3.9,-4.5,-4.2,-3.9,-3.8,-4.1,-4.3,0.1,0.3,-0.1
A,Spo0A-,dnaA,BSU00010,0,1.2,0.2,-1.1,-1.6,-2.2,-3,-2.8,-3.6,1.6,1.6,1.7
A,Spo0A-,dnaN,BSU00020,0,0.8,-0.5,-1.7,-2.2,-2.7,-3.1,-3.3,-3.6,1.5,1.5,1.5
A,Spo0A-,flgB,BSU16180,0,0.8,-0.5,-2.4,-2.7,-3.3,-3.7,-3.3,-4.2,-1.7,-1.3,-1.5
A,Spo0A-,flgC,BSU16190,0,0.7,-0.7,-2.4,-2.9,-3.4,-4.1,-3.7,-4.3,-2,-1.5,-1.8
A,Spo0A-,flgE,BSU16290,0,0.2,-1.6,-3.1,-3.6,-4.1,-3.6,-4.2,-4.5,-2.6,-1.8,-2.5
A,Spo0A-,flhA,BSU16390,0,-0.4,-2.3,-3.9,-4.4,-4.7,-4.9,-5.1,-5.2,-2.3,-1.6,-2.3
A,Spo0A-,flhB,BSU16380,0,-0.1,-2.1,-3.7,-4.3,-4.5,-4.7,-5.1,-5.3,-2.2,-1.5,-2.1
A,Spo0A-,flhF,BSU16400,0,-0.5,-2.2,-3.8,-4.4,-4.8,-4.9,-4.9,-5.1,-2.5,-1.8,-2.4
A,Spo0A-,fliE,BSU16200,0,0.7,-0.7,-2.4,-3,-3.3,-3.9,-3.3,-3.7,-2.2,-1.6,-2
A,Spo0A-,fliF,BSU16210,0,0.6,-0.9,-2.5,-2.9,-3.4,-4.2,-3.7,-4.1,-2.2,-1.6,-2
A,Spo0A-,fliG,BSU16220,0,0.3,-1.3,-2.6,-3.1,-3.6,-4,-3.9,-4.4,-2.3,-1.7,-2.3
A,Spo0A-,fliH,BSU16230,0,0.4,-1.2,-2.7,-3.1,-3.8,-4.1,-3.7,-4.3,-2.3,-1.5,-2.1
A,Spo0A-,fliI,BSU16240,0,0.2,-1.4,-3,-3.5,-4,-4.5,-4.8,-5.2,-2.3,-1.6,-2.3
A,Spo0A-,fliJ,BSU16250,0,0.5,-1,-2.6,-3,-3.6,-3.6,-3.4,-3.4,-2.1,-1.5,-1.9
