Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
A,AbrB-,albA,BSU37370,0,-2.6,1.6,-2.5,-2.9,-2.8,-1.8,-2.1,-2.6,-3.2,-2.9,-3.5
A,AbrB-,albB,BSU37380,0,-2.5,1.6,-2.5,-3,-2.8,-1.9,-1.8,-2.3,-2.6,-2.5,-2.6
A,AbrB-,albC,BSU37390,0,-2,1.7,-2.5,-3.1,-2.9,-2.3,-3.2,-3.2,-2,-1.8,-2.1
A,AbrB-,albD,BSU37400,0,-1.6,2.2,-2.2,-3,-2.8,-2.2,-3.1,-3.3,-1.4,-1.3,-1.6
A,AbrB-,albE,BSU37410,0,-1.3,2.6,-1.9,-2.9,-3,-3.3,-3.6,-3.7,-1.8,-1.5,-1.7
A,AbrB-,albF,BSU37420,0,-0.8,3.1,-1.4,-2.2,-2.4,-2.6,-2.8,-2.8,-2.2,-1.5,-1.9
A,AbrB-,albG,BSU37430,0,-0.7,3.1,-1.2,-2,-2.2,-2.1,-2.3,-2.2,-2.3,-1.6,-2
A,AbrB-,antE,BSU25220,0,-0.3,0.6,0.2,-0.1,-0.4,0.5,1,2.2,0.3,-0.6,-0.8
A,AbrB-,asnH,BSU39920,0,6,5.7,5.3,4.9,3.8,1.9,2.5,1,0.2,0.5,0.5
A,AbrB-,bdbA,BSU21460,0,1.2,0.7,-2.4,-3.3,-4.6,-5.5,-3.9,-3.1,-4.7,-4.3,-5.3
A,AbrB-,bdbB,BSU21440,0,0.5,0,-2.8,-3.7,-4.6,-5.6,-4.5,-4.1,-4,-4.3,-4.3
A,AbrB-,bdhA,BSU06240,0,-1.4,-2.1,-3.2,-3.9,-4.4,-4.3,-4.4,-4.4,-4,-3.2,-4.5
A,AbrB-,besA,BSU32010,0,1.4,2.7,-0.9,1.7,1.2,0,0.1,-1.2,0,1.4,-0.4
A,AbrB-,cccA,BSU25190,0,-0.1,1.1,0.5,0.8,0.5,-0.1,0.6,0.1,-3.5,-2.7,-3.4
A,AbrB-,comK,BSU10420,0,1,1.3,0.4,0.6,0.2,0.1,0,-0.3,-3.4,-3.2,-3.3
A,AbrB-,csn,BSU26890,0,-2.2,0.4,-1.1,-1.8,-2.1,-2.5,-2.2,-2.9,-4.9,-4.2,-4.5
A,AbrB-,ctaB,BSU14880,0,-1.3,0.2,-0.6,-0.3,-0.7,-1.2,-1,-1.1,0,-0.5,-0.1
A,AbrB-,ctaC,BSU14890,0,-0.6,1.4,1,1.1,1.2,0.4,0.7,0.2,-3.3,-3.1,-3.4
A,AbrB-,ctaD,BSU14900,0,-1.2,1,0.6,0.6,0.7,0.3,0.3,0,-3.7,-3.3,-3.9
A,AbrB-,ctaE,BSU14910,0,-1.4,0.7,0.4,0.3,0.5,0.4,0.4,0.2,-3.7,-3.4,-4
A,AbrB-,ctaF,BSU14920,0,-1.4,0.8,0.5,0.5,0.6,0.6,0.6,0.6,-3.7,-3.5,-3.9
A,AbrB-,ctaG,BSU14930,0,-1.2,0.9,0.3,0.3,0.6,0.4,0.4,0.3,-3.3,-3.1,-3.6
A,AbrB-,ctaO,BSU12080,0,-2,1.7,-0.1,-0.3,1.1,1.6,1.5,1.7,-1.9,-1.6,-2
A,AbrB-,cwlS,BSU19410,0,0.6,1.5,-0.1,-0.5,-1.6,-2.9,-3.1,-4.1,-4.1,-3.5,-3.7
A,AbrB-,cypX,BSU35060,0,-2.7,-1.9,-3,-3.7,-3.9,-3.9,-3.8,-3.7,-2.1,-2,-2.1
A,AbrB-,dacF,BSU23480,0,-0.5,0.6,7.1,7.3,6.7,6.3,6.6,6.4,0,-0.2,0.1
A,AbrB-,dhbA,BSU32000,0,2.4,4.2,-0.3,2.7,1.7,0.1,-0.8,-1.1,2,3.4,0.8
A,AbrB-,dhbB,BSU31970,0,2.5,4.6,0.2,3.5,1.7,0.2,-0.6,-1,2.2,3.4,0.9
A,AbrB-,dhbC,BSU31990,0,2.4,4.3,-0.1,2.9,1.5,0,-0.4,-0.8,2.1,3.4,0.8
A,AbrB-,dhbE,BSU31980,0,2.4,4.4,0,3,1.2,-0.2,-0.7,-0.9,2.1,3.5,0.8
A,AbrB-,dhbF,BSU31960,0,1.8,4.8,0.3,3.3,1.3,-0.1,-0.5,-0.6,1.9,3,0.6
A,AbrB-,lip,BSU02700,0,-0.8,0.6,-0.2,-0.9,-2.1,-4.8,-4.9,-5.2,-2.8,-2.1,-2.7
A,AbrB-,mcpA,BSU31240,0,-1,-1.8,-3.6,-3.9,-4,-3.2,-4.2,-4.2,-5.4,-4.6,-4.7
A,AbrB-,ntdR,BSU10560,0,2.2,2.3,2.5,2.2,1.8,0.7,0.7,-0.1,-1.4,-1,-1.3
A,AbrB-,pbpH,BSU13980,0,-0.7,-1.1,-1.4,-2,-2.1,-1.9,-2.7,-2.2,-1.9,-1.2,-1.9
A,AbrB-,phrE,BSU25840,0,0.8,1.5,1.1,1.2,0.5,0.4,0.8,0.8,-2.4,-2.2,-2.5
A,AbrB-,phrH,BSU06839,0,0.5,0.9,0,-0.6,-1.2,-1.8,-2.1,-3.1,-4.2,-3.7,-4
A,AbrB-,phrK,BSU18920,0,0.6,1.9,0.8,1,0.3,-1.1,0.2,-1.2,-4.4,-4.1,-4.2
A,AbrB-,phy,BSU19800,0,-0.1,0.8,0.7,1.2,1.1,1,1.1,1.7,-0.7,-0.6,-0.6
A,AbrB-,pnbA,BSU34390,0,0.4,1.1,1.1,0.7,0.5,0.1,-0.6,-1.3,-0.8,-0.3,-0.9
A,AbrB-,ppsA,BSU18340,0,2.5,2.2,0.8,0.3,-0.1,-0.9,-1.2,-1.5,-2.1,-1.9,-2.1
A,AbrB-,ppsB,BSU18330,0,2.6,2.1,0.6,-0.1,-0.6,-0.7,-1.4,-1.7,-1.7,-1.4,-1.5
A,AbrB-,ppsC,BSU18320,0,2.1,1.9,0.5,0,-0.6,-1.1,-1.8,-2,-1.6,-1.3,-1.4
A,AbrB-,ppsD,BSU18310,0,1.7,1.9,0.3,-0.2,-0.9,-1.3,-1.9,-2,-1.2,-0.8,-1
A,AbrB-,ppsE,BSU18300,0,1.2,1.8,0.2,-0.1,-0.7,-1.1,-1.7,-1.9,-1,-0.8,-0.8
A,AbrB-,pspA,BSU06180,0,-1.5,-3,-5,-5.1,-5.5,-4.7,-6.2,-5.2,-2.3,-2,-2.7
A,AbrB-,ptkA,BSU36250,0,0.1,0.4,-0.8,-1.7,-2,-3.3,-3.2,-3.1,-0.3,0.2,-0.2
