ProtID,T0,T15,T30,T60,T90,T150,T210,T330
Q45675,0,0,0,0,0,0,0,4414
P33166,0,0,0,0,0,0,0,3936
P80868,12027,10145,16665,14269,12817,10557,4712,3453
P21882,5506,4669,5601,5739,5204,4658,2048,2101
P80877,4530,3245,5449,4613,4208,2973,1732,1755
P09124,0,0,0,461,923,1318,560,1750
P28598,7617,6790,8591,8377,7159,6174,3786,1675
P37253,3450,3441,4123,4265,4580,3966,1831,1644
Q08352,0,0,0,764,905,825,374,1643
Q9KWU4,0,0,228,2234,3355,3027,1477,1565
P21880,2063,1671,2413,2274,2012,1387,618,1523
P37869,2540,2672,3222,2683,2448,2882,1370,1376
Q08787,6664,6339,8020,7499,6522,4934,2795,1370
P12425,0,0,0,0,0,0,0,1369
P80698,981,870,1808,2735,2425,1685,1049,1366
P17820,2918,2404,3633,3907,3209,2577,1775,1278
P12048,4515,3360,4760,4447,3133,3349,1582,1232
P09339,562,476,889,2585,3477,2463,1472,1196
P02968,433,193,504,998,1401,1399,679,1195
P19582,0,0,0,0,0,0,27,1155
P21881,720,1146,1074,1498,1425,1072,582,1126
P12310,2579,2384,2932,3142,2262,1274,613,1039
P37871,4342,4323,5264,5469,4109,3822,2650,982
P21883,4622,4431,5778,6254,4048,3374,1211,972
P39126,4427,4826,5237,5606,4105,3155,1190,919
P49814,2116,2387,2472,3002,2373,1497,929,906
P12879,1103,994,1014,1009,872,496,306,904
O34389,964,1185,1415,1113,1149,668,456,892
P80700,2458,2403,3270,2924,2984,2531,1787,859
P54375,3191,3278,4040,3815,2946,2090,1213,855
P37527,4031,3602,4284,4292,3570,2696,2195,854
P46338,1589,1631,2092,2027,1672,1460,200,841
P21464,0,0,0,0,0,0,0,840
P40924,1500,1578,1668,1863,1248,1063,499,819
P02394,3545,3614,3664,3568,3752,2648,1503,817
P21467,2268,1387,4122,3092,1527,2799,1096,791
P37809,1691,1775,2120,2123,1890,1458,589,769
O34764,2277,2106,2542,2264,2193,2282,681,764
P38494,0,0,0,0,0,0,38,753
Q04797,2623,2651,3642,3702,2785,1765,1161,744
P54944,815,798,1147,1500,1307,947,664,724
P37870,2650,2763,2404,2271,2053,1757,1277,715
P94565,2878,3606,4593,4308,3154,2007,1226,689
P14016,0,0,0,0,507,0,270,688
P19669,9219,8574,11701,10557,5748,5809,2862,662
P80885,1240,1207,1797,1956,1931,1935,1027,644
P21879,2011,1984,3926,3639,2816,2416,1112,639
Q06797,1836,1350,2038,2334,2101,1673,829,630
P13243,1473,1573,1624,1529,1249,933,191,627
P05645,2582,2799,3329,3051,2540,2530,1312,626
P08821,0,0,0,0,709,0,187,626
P80239,2951,2759,2998,2766,2146,1747,1781,613
P35136,1233,1414,1634,1748,2181,1631,675,610
O06491,1195,1335,1221,1284,1546,1167,664,606
P12042,1526,1328,1566,1732,1631,1389,447,601
P39812,0,0,217,814,1171,656,447,593
P23261,0,0,0,0,0,0,43,583
P25994,3456,3056,4286,3808,3701,3038,1877,582
O32224,0,0,318,411,225,0,233,580
O34340,4493,3870,5332,5030,3914,2924,2344,574
P37808,974,1014,1657,1316,1357,1260,563,565
O34788,1554,1538,2013,2298,2061,1278,547,564
P51831,853,882,1335,1058,943,840,481,547
P37887,1213,1132,1122,933,1009,575,326,526
P80859,826,782,890,939,677,458,96,524
P42920,1858,1598,2110,2031,1796,1549,714,523
P37487,756,688,1500,1231,405,516,133,514
P80886,612,608,1018,788,648,415,289,510
P45694,515,409,613,469,440,200,44,508
P12877,2434,1871,2483,2404,2415,1849,1101,503
P96614,2138,1694,2541,2097,1136,1116,869,483
P39148,2523,1705,2589,2417,1966,1572,1182,478
P37571,1083,858,1361,1686,1115,660,518,478
P39620,2445,2482,2897,2871,3583,2022,754,453
Q07833,1244,1242,1822,1563,1404,1229,635,451
P37877,0,0,0,0,0,0,30,448
P27876,2098,1953,2410,1662,1835,1218,688,443
P16263,1755,1573,1998,2192,1199,1376,922,439
P54466,270,249,290,217,192,0,0,436
P14949,1122,1630,1818,2377,2036,1914,1155,435
P21465,1674,1833,1827,1700,1462,1791,896,414
P50849,1238,1525,1567,1697,1342,984,272,414
P28599,2097,1879,2802,3160,1803,1457,1015,407
P46899,500,441,440,502,616,444,185,402
P80643,748,640,907,752,380,472,167,401
P21469,721,691,510,619,322,317,0,0
O34347,971,1003,1293,1452,791,584,330,396
P42919,0,0,0,0,0,0,0,387
P17889,1598,1152,1875,1633,1427,1262,335,385
O34981,1762,1560,2211,1782,1594,1703,420,374
O34633,490,485,434,627,429,368,134,373
O32231,0,0,143,272,552,301,172,365
P42923,2539,2810,3126,2701,3402,2583,1120,364
P54535,2087,1540,2374,2021,1336,1203,438,362
P29727,1229,990,1209,1132,1243,1004,343,360
P94421,1415,1163,1508,1483,1744,1383,556,359
P08877,0,0,0,241,123,234,18,352
P22326,829,449,844,960,798,646,390,351
P07788,901,665,799,1013,959,523,199,350
P71039,4349,4605,4808,5643,4623,2832,1403,342
P80870,0,0,0,1285,2569,1929,944,338
O32271,374,367,327,242,0,0,40,336
P08065,0,0,0,0,0,0,0,335
P39779,0,0,117,0,207,0,0,333
P55873,1322,1335,2371,2152,1854,1131,668,331
P39646,910,767,1020,942,836,761,333,0
Q06796,1251,1157,2206,1692,1334,1244,864,325
P39912,794,1043,1053,500,619,580,429,323
P35149,0,0,172,1455,1080,419,262,319
P29726,3004,3711,3490,3643,3831,3149,1775,318
P08838,315,427,606,720,896,553,305,317
P21468,1458,1476,1859,1856,1763,1345,474,311
P80860,937,933,1234,1486,1321,991,239,311
P53001,1660,1494,1751,2434,1786,1638,841,310
P40869,552,567,881,636,600,416,235,309
P46915,2236,1953,2332,2012,1283,1473,1017,306
