protID,gene,Tminus30_T0,T0_T15,T15_T30,T30_T45,T45_T60,T60_T90,T90_T150,T150_T210,T210_T330
P09124,gapA,0,-1,0,0,1,0,0,0,0
P80859,gndA,0,-1,0,0,0,1,0,0,0
O34499,pgl,0,-1,0,0,0,0,0,0,1
P17820,dnaK,0,-1,0,0,0,0,0,0,0
P38494,ypfD,0,-1,0,1,0,1,0,0,0
O32165,sufD,0,-1,0,0,0,1,0,0,0
P37487,ppaC,0,-1,0,1,1,0,0,0,0
P80866,sufC,0,-1,0,0,0,1,0,0,0
P29727,guaA,0,-1,0,0,0,1,0,0,0
O05268,yumC,0,-1,0,0,1,0,0,0,0
O31716,ykpA,0,-1,0,1,0,0,0,0,1
P37477,lysS,0,0,0,0,1,1,0,0,0
P18255,thrS,0,-1,0,0,0,0,0,0,0
Q45477,ileS,0,-1,0,0,0,0,0,0,0
P22326,tyrS1,0,-1,0,0,0,0,0,0,0
O32164,sufS,0,-1,0,0,1,0,1,0,0
P28366,secA,0,0,0,0,0,0,0,0,1
P37518,ychF,0,0,0,0,0,1,0,0,1
O31774,rny,0,0,0,0,0,0,0,0,1
P39778,clpY,0,0,0,0,1,0,0,1,0
P46920,opuAA,0,0,0,0,0,0,0,0,0
P28599,groS,0,-1,0,0,0,0,0,0,0
Q04796,dapA,0,-1,0,0,0,1,0,0,0
P37949,lepA,0,0,0,0,1,1,0,0,0
P55180,galE,0,-1,0,0,0,0,0,0,0
Q05873,valS,0,-1,0,1,0,0,0,0,0
P54169,ypgR,0,0,0,0,1,0,0,0,0
P39149,upp,0,0,0,0,1,0,0,0,0
P19465,folE,0,0,0,0,0,0,0,1,0
P54381,glyS,0,-1,0,0,0,1,0,0,0
O31755,proS,0,-1,0,0,0,0,0,0,0
P45872,prfA,0,-1,0,0,0,0,0,0,0
Q01465,mreB,0,-1,0,0,0,0,0,0,0
O32218,bdbD,0,-1,0,0,0,0,0,0,1
P30950,hemB,0,-1,0,0,1,0,0,0,0
P54475,cshB,0,-1,0,0,0,0,0,0,0
P13484,tagE,0,0,0,0,0,1,1,1,0
O34924,ytoP,0,-1,-1,1,1,0,0,0,0
O31689,ykvY,0,0,0,0,1,0,0,0,0
O54408,relA,0,-1,0,0,0,0,0,0,1
O34600,nrnA,0,-1,0,0,0,1,0,0,0
P54380,glyQ,0,-1,0,0,1,0,0,0,1
P28598,groL,0,0,0,0,1,0,0,0,0
P51777,cspD,0,-1,0,0,0,0,0,0,0
O31605,yjbG,0,-1,0,0,0,0,0,0,0
O31766,ymfH,0,-1,0,0,0,0,0,0,0
O05239,yugJ,0,-1,0,0,0,0,0,0,0
P96613,murF,0,0,0,0,1,0,0,0,0
P54466,yqfA,0,0,0,1,0,0,0,0,0
P37571,clpC,0,-1,0,0,0,0,0,0,0
O34788,bdhA,0,-1,0,0,0,0,0,0,1
P71088,spo0M,0,-1,0,0,0,0,0,0,0
P80864,tpx,0,0,0,0,1,0,0,0,0
P46906,argS,0,-1,0,0,1,0,0,0,0
P80244,clpP,0,-1,0,0,0,0,0,0,0
O34628,yvlB,0,0,0,0,1,1,0,0,0
P14194,ctc,0,-1,0,0,0,0,0,0,0
O32076,yuaG,0,0,-1,0,0,0,0,0,0
P46336,iolS,0,-1,0,0,0,0,0,0,0
Q796Y8,ygaF,0,-1,0,0,1,0,0,0,0
P39142,pdp,0,-1,0,0,0,0,0,0,0
O34334,yjoA,0,-1,0,0,0,0,0,0,0
O34525,sppA,0,0,0,0,0,0,0,0,1
P54531,yqiT,0,0,0,0,1,0,0,0,0
P50743,der,0,-1,0,0,1,0,0,0,0
Q9KWU4,pyc,0,0,0,1,1,1,0,0,0
P24141,oppA,0,0,0,1,1,0,0,0,0
P21879,guaB,0,-1,0,1,1,1,0,0,0
P39912,aroAG,0,0,0,1,1,1,0,0,0
O32167,metQ,0,0,0,1,1,0,1,0,1
P04990,thrC,0,0,0,1,1,0,0,0,0
Q04797,asd,0,0,0,0,0,0,0,1,0
P19582,hom,0,-1,0,0,0,0,1,0,0
P40780,ytxH,0,-1,0,0,0,1,0,0,0
O31669,mtnD,0,0,0,0,1,0,1,1,0
O32169,metN,0,-1,0,0,1,0,1,0,1
O31662,mtnA,0,0,0,0,0,0,1,0,0
O34912,hisI,0,0,0,0,0,0,0,1,0
O34683,hisB,0,0,0,0,1,0,0,0,0
O07516,yhaH,0,0,0,0,0,1,1,0,0
O07605,gltT,0,0,0,1,1,1,1,0,0
A3F3H1,aroB,0,0,0,0,1,0,0,0,0
O34745,yodF,0,0,0,0,1,1,1,0,0
P36838,carA,0,0,-1,0,0,0,0,0,0
P40779,ytxG,0,0,1,0,0,0,0,1,0
P21883,pdhC,0,-1,0,0,0,0,0,1,1
