locus_tag,gene,Tminus30,Tminus15,T0,T15,T30,T60,T150,T330,Tminus30_Tminus15,Tminus15_T0,T0_T15,T15_T30,T30_T60,T60_T150,T150_T330
BSU39740,iolC,-1.114921836,-0.095839185,-1.763067361,0.911273908,0.170045796,0.2028542,0.450235064,1.239419414,0,0,1,0,0,0,0
BSU30370,bceB,-1.019386362,-0.122922132,-1.748279226,0.380699537,0.285585758,1.221284545,-0.076509919,1.0795278,0,0,1,0,0,0,0
BSU18780,yoaW,-0.900728447,-0.570120386,-1.821465728,0.703509624,0.883757076,0.127994878,0.717708037,0.859344946,0,0,1,0,0,0,0
BSU35890,pgsC,-0.874603068,-0.593590826,-1.764471178,0.561577635,-0.007469037,0.86386563,0.732530688,1.082160157,0,0,1,0,0,0,0
BSU33060,gerAB,-1.18798687,-0.355037541,-1.713593494,0.883863946,0.3022087,1.073795978,0.542504788,0.454244492,0,0,1,0,0,0,0
BSU36040,ywrJ,-0.803101273,0.125991676,-2.026970963,1.214771599,0.294401186,0.090100109,0.710174302,0.394633363,0,0,1,0,0,0,0
BSU00080,yaaC,-0.920804359,0.100031139,-2.038257199,1.036624833,0.480147877,0.656605821,0.433095551,0.252556337,0,0,1,0,0,0,0
BSU25520,yqxA,-1.587172773,-0.041900332,-1.409903181,0.763585474,0.282548255,0.91494099,0.085987889,0.991913678,0,0,1,0,0,0,0
BSU24920,yqgL,-0.988908069,-0.337720051,-1.729634071,0.687979745,0.019609435,0.852988273,0.201698657,1.293986081,0,0,1,0,0,0,0
BSU27290,yrzA,-0.872472129,-0.183679964,-1.980557039,0.637003083,0.69792336,0.26130966,0.343531114,1.096941914,0,0,1,0,0,0,0
BSU28780,araD,-0.973371359,0.519627284,-1.816578203,1.331663686,-0.110639677,0.128060631,0.102658565,0.818579073,0,0,1,0,0,0,0
BSU28110,spoVID,-1.099493712,-0.384261741,-1.694138737,0.926429442,0.442382545,-0.021215455,0.766939938,1.06335772,0,0,1,0,0,0,0
BSU34560,malL,-1.334151324,0.270683,-1.674505534,0.685919416,0.043662308,0.666897556,0.157983145,1.183511432,0,0,1,0,0,0,0
BSU08200,malP,-0.883090492,-0.276196504,-1.920270059,0.345629637,0.620010523,0.95469934,0.149950086,1.009267469,0,0,1,0,0,0,0
BSU01570,ybaN,-0.638814933,-0.497113506,-1.933973551,0.816716897,0.238386002,0.103550602,0.808098902,1.103149586,0,0,1,0,0,0,0
BSU38870,yxkA,-1.070055785,-0.318110321,-1.777024532,0.888664788,0.048508601,0.473951601,0.734048926,1.020016724,0,0,1,0,0,0,0
BSU38970,yxjF,-1.109822481,-0.281933304,-1.775532424,0.073785054,0.452053345,0.891166066,0.858226344,0.8920574,0,0,1,0,0,0,0
BSU22530,ypjA,-1.372102042,-0.386203442,-1.492267739,1.019168704,0.494266079,0.501278914,0.147100098,1.088759428,0,0,1,0,0,0,0
BSU36540,ywnJ,-0.931991582,-0.435280393,-1.765441775,0.492451288,-0.077280422,0.956913783,0.644660062,1.115969038,0,0,1,0,0,0,0
BSU26030,yqbO,-1.050167239,-0.051135472,-1.879092383,1.198767233,0.476258339,0.613736942,0.141084739,0.550547841,0,0,1,0,0,0,0
BSU05080,yddR,-0.791608594,-0.547015651,-1.835696677,0.575494814,0.876798596,0.08017225,0.467299705,1.174555557,0,0,1,0,0,0,0
BSU10820,yisQ,-1.301539393,0.014236456,-1.72508394,0.864483857,0.063061773,0.987896883,0.570665509,0.526278854,0,0,1,0,0,0,0
BSU24190,yqiI,-0.401877051,-0.412079906,-2.095495261,0.196617437,0.454904902,1.200542135,0.40289269,0.654495054,0,0,1,0,0,0,0
BSU38390,ywbA,-1.217873612,-0.322038392,-1.612215174,1.31657229,0.291360526,0.395552605,0.274793737,0.87384802,0,0,1,0,0,0,0
BSU19600,yodH,-0.857025856,-0.3700687,-1.743069928,0.970034204,-0.076869467,0.195106968,0.531947091,1.349945687,0,0,1,0,0,0,0
BSU07760,yfkT,-1.128774869,0.620466914,-1.829022115,1.009021088,-0.02201476,-0.034343497,0.784872385,0.599794853,0,0,1,0,0,0,0
BSU04550,ydbP,-0.942215713,-0.567881374,-1.709807135,0.794126961,0.365779984,0.597799738,0.149939635,1.312257905,0,0,1,0,0,0,0
BSU15320,sigE,-1.356235275,0.563655449,-1.774108097,0.762230948,0.532198183,0.463579853,0.023983808,0.784695131,0,0,1,0,0,0,0
BSU23180,spmA,-1.21954859,-0.311131159,-1.584360611,0.954594358,0.034822834,0.139352432,1.017448496,0.968822239,0,0,1,0,0,0,0
BSU05344,ydzS2,-1.11326155,-0.465387332,-1.673732837,1.231887016,0.17398356,0.447859391,0.789254873,0.609396879,0,0,1,0,0,0,0
BSU13730,queD,-0.977068657,-1.025848579,-1.002168331,1.479277675,-0.043926335,-0.283823849,0.922117619,0.931440456,0,0,1,0,0,0,0
BSU34210,yvfG,-1.116512061,-1.147319102,-1.009994946,1.318628615,0.578090934,-0.071955135,0.344444072,1.104617622,0,0,1,0,0,0,0
BSU36630,ywnA,-1.173676957,-0.944740846,-1.221179721,1.185827406,0.178022682,0.33586145,0.405592552,1.234293434,0,0,1,0,0,0,1
BSU31040,yuaD,-1.121879802,-0.828155337,-1.085994634,0.883647531,0.244374055,-0.046894289,0.228255821,1.726646655,0,0,1,0,0,0,0
BSU31110,yubF,-1.158955401,-0.945678389,-1.189740364,0.678085972,0.338237488,0.161957389,0.554225349,1.561867956,0,0,1,0,0,0,1
BSU37150,pyrG,-1.149691552,-0.80078273,-1.201063253,1.274884966,0.224547019,-0.047147637,0.363469838,1.335783348,0,0,1,0,0,0,0
BSU27250,mccB,-1.185024785,-0.944903675,-1.191827407,0.558185041,0.611353703,-0.067026412,0.854589053,1.364654482,0,0,1,0,-1,0,0
BSU03590,tcyC,-1.205566828,-0.566972691,-1.388926303,0.869513911,0.096029003,0.131949909,0.594176462,1.469796536,0,0,1,0,0,0,0
BSU03600,tcyB,-1.128406002,-0.940619599,-1.177860453,1.048275102,0.146919296,0.034764838,0.621870624,1.395056193,0,0,1,0,0,0,0
BSU03610,tcyA,-1.204901015,-0.704912304,-1.209186603,0.951581486,0.135336375,-0.031821429,0.514991746,1.548911743,0,0,1,0,0,0,1
BSU18470,proJ,-1.106057285,-0.868966056,-1.188946404,0.680071738,0.213429674,-0.060467767,0.729805321,1.601130779,0,0,1,0,0,0,0
BSU09280,glpF,-1.079695282,-0.332410508,-1.27729833,1.209080917,-0.122886243,0.079680713,-0.089227325,1.612756059,0,0,1,0,0,0,0
BSU22430,panB,-1.189768,-0.865868117,-1.285746894,0.913957443,0.250859493,0.400336716,0.365828416,1.410400944,0,0,1,0,0,0,1
BSU28560,lcfA,-1.101921763,-0.882375895,-1.090123051,0.920269531,0.189859487,0.159631066,0.101709227,1.702951398,0,0,1,0,0,0,0
BSU24730,comGA,-1.270603644,-0.604491612,-1.356354624,0.919708717,-0.048429667,0.460434596,0.552533277,1.347202957,0,0,1,0,0,0,0
BSU13750,queF,-1.117870474,-1.000550501,-1.112188111,1.074477884,0.048024804,-0.060151354,1.108662252,1.059595501,0,0,1,0,0,1,0
BSU13720,queC,-0.899032119,-0.842479793,-1.020314166,1.610329691,-0.151049419,-0.479645021,0.949357717,0.83283311,0,0,1,0,0,0,0
BSU_MISC_RNA_22,BSU_MISC_RNA_22,-1.010512757,-0.967275417,-1.142758876,1.277750812,0.087588182,-0.255184875,0.930811072,1.079581858,0,0,1,-1,0,1,0
BSU31270,tgl,-1.201634418,-0.648977745,-1.425240315,0.887680537,0.693954621,-0.077189293,0.525742179,1.245664434,0,0,1,0,0,0,0
BSU19170,yocD,-1.106611141,-0.811056606,-1.163923912,0.977226578,0.100930408,0.085028006,0.26987412,1.648532547,0,0,1,0,0,0,1
BSU08400,yfiU,-1.096435843,-0.751928101,-1.433019321,1.28724224,0.060121864,0.357991908,0.515807992,1.060219262,0,0,1,0,0,0,0
BSU27350,yrrN,-1.165883386,-0.965020173,-1.224364762,1.346294091,0.461726527,0.075873098,0.51607922,0.955295385,0,0,1,-1,0,0,0
BSU27340,yrrO,-1.139831585,-0.961286797,-1.202951997,1.3087199,0.296633712,0.05342174,0.528940976,1.116354052,0,0,1,0,0,0,0
BSU02800,ycdC,-1.039768734,-1.100959173,-1.057073728,0.811073089,-0.084638281,0.387304441,0.493078066,1.590984321,0,0,1,0,0,0,0
BSU11290,yjaV,-1.070784086,-0.603266409,-1.4621109,1.121078395,0.42356321,0.007075891,0.217670416,1.366773484,0,0,1,0,0,0,0
