ProtID,Tminus30,T0,T15,T30,T45,T60,T90,T150,T210,T330
O06744,46,,,43,,89,64,52,,15
O34799,22,21,24,,,,,,,
P40868,19,79,47,53,,31,,103,30,48
O31446,50,122,100,92,,115,73,70,29,
O31659,104,163,96,43,,,,,,
C0H3T6,26,,,,,,,,,
P02958,751,978,,550,,76,,156,,
P04831,18746,17905,8392,3925,265,308,230,349,209,125
P39668,241,120,118,103,82,115,195,137,98,32
Q7WY59,55,52,41,55,29,29,,186,49,
Q08311,111,143,142,258,136,144,68,63,64,97
O31768,2015,2239,1390,944,100,30,92,139,54,
O31572,190,134,96,49,,,,,,
Q45060,2268,1955,863,471,66,74,52,96,,52
O32007,665,609,247,69,,,,,,
O34409,85,143,98,,81,81,100,72,,
P04832,12811,14535,6244,3256,174,323,124,218,77,
P94446,1280,1216,898,516,255,437,211,309,151,67
P54481,727,864,237,124,,,,138,,
P71032,66,80,38,,,,,,,
O31552,1062,1219,651,384,132,48,,,,
O35033,31,145,121,125,62,103,110,75,54,93
O34783,969,846,586,254,85,,,,,
O31762,84,91,75,64,19,,,,,
O34654,183,100,133,122,167,192,162,153,71,71
P54430,261,387,422,384,233,293,231,333,143,76
O34585,291,459,642,73,,,,31,,
O06734,186,217,206,205,150,238,224,238,140,131
C0H402,197,418,421,72,,,,,,
P94537,1783,1542,1167,707,,126,60,278,16,
P54598,3668,4800,2136,1821,1169,1253,1022,1209,998,653
C0H3R1,213,262,294,465,205,49,,36,,
P54944,437,387,425,450,241,210,292,356,231,213
P39801,124,92,145,110,103,82,114,110,50,184
Q7WY58,725,1197,535,278,65,201,102,93,26,182
P42402,203,354,179,57,98,132,159,92,44,59
O32180,802,741,884,432,147,33,72,109,,
O32066,121,197,150,86,17,,,,,
P71031,210,326,285,75,,,57,18,,
O32166,87,90,158,116,16,30,22,,,
Q06320,27,50,58,53,98,105,82,52,19,
P37549,349,915,185,156,,,,42,,
O31649,150,165,207,183,158,287,310,178,255,154
O07949,139,227,70,126,14,36,26,29,29,24
O35023,153,176,84,100,100,216,95,200,147,32
O34503,171,91,87,,,,,,,
P54606,4059,6365,3089,776,91,46,203,54,,
P54379,238,569,146,22,,,,,,
Q45538,719,936,396,604,322,542,802,733,479,456
P07784,6244,5898,2464,1288,55,199,145,1520,,209
P54601,3035,2476,2622,1505,308,92,65,82,,
C0H3Y5,653,652,417,139,52,75,,127,,
P14016,1867,1893,1593,1957,1033,1352,1126,1492,1102,935
P54474,92,134,76,63,126,22,94,371,148,55
P35149,1318,1601,790,742,726,1063,1039,866,683,287
O34579,233,348,279,243,217,199,245,383,237,39
O05246,140,186,250,,,,,,,
P04833,602,828,278,141,,,,,,
O32073,476,586,1025,149,97,,,,,
Q7WY65,53,69,62,46,,,,,,
P40869,500,688,493,589,328,431,345,384,283,194
P49853,32,29,,,,,,,,
O34405,55,93,,,,,,,,
P54597,756,570,181,217,87,144,53,72,31,
O34859,59,163,138,71,65,,,,,
O34656,300,280,201,186,153,199,223,128,108,29
P10726,22,29,,,22,26,,50,20,
C0H443,104,123,129,,15,,,,,
O32173,273,313,169,162,,,,,,
P23261,835,1225,748,981,721,593,734,938,727,227
P12310,915,931,1090,980,736,859,663,1179,837,606
P39790,37,91,49,137,,,23,37,75,
P07790,566,525,472,400,301,270,292,265,156,213
Q7WY68,266,321,354,61,,,,54,,
P46914,489,791,386,411,400,449,426,436,278,117
P39620,567,665,457,431,209,407,208,385,199,262
Q45535,52,18,,,66,23,24,29,,
O32036,33,,,,,33,,,,
Q796Q1,38,68,,48,,,,,,
O06997,399,520,401,272,230,246,344,451,343,368
P96728,198,235,256,118,,,,,,
P46916,163,263,135,181,45,71,95,73,41,29
P42408,315,673,536,94,,,,94,,
O31802,245,169,282,256,62,71,69,66,98,
P96619,946,1211,598,736,739,591,641,641,395,266
P54448,25,180,101,,139,130,130,32,,18
P42249,125,273,219,306,140,146,127,184,167,59
P07788,1306,1855,1743,1673,1114,1696,1371,1513,1017,701
O07634,672,709,602,400,243,496,326,352,224,119
P38490,1236,1385,738,416,218,220,237,261,105,98
P42068,21,,,,,,,,,
Q7WY66,33,53,40,,,,,,,
O32089,111,132,123,73,60,44,32,62,47,58
P40746,65,126,109,96,62,131,84,196,79,36
P16450,132,194,197,376,72,359,220,166,71,473
Q45537,514,196,287,216,221,298,172,298,280,105
P37554,484,520,469,472,528,382,318,259,138,133
P94541,25,25,65,,,,,,,
Q45536,274,487,506,458,546,539,352,392,480,260
P37531,307,568,319,396,311,365,247,335,220,125
P46331,20,,14,,,,,,,
P94494,112,184,184,84,,160,75,155,87,
O05495,225,284,320,296,268,390,180,369,201,94
O31585,464,250,262,47,,,,,,
O07622,252,470,370,294,349,400,409,318,150,132
O32087,73,226,156,140,48,39,89,,57,
P54487,82,38,,,,,,,,
O34806,655,945,587,447,393,565,473,666,351,375
P54516,54,50,57,42,,44,47,49,,50
O32040,19,,,,,,,,,
O31824,58,338,51,62,60,93,296,54,33,353
O32062,274,393,262,200,224,262,328,325,146,150
O34682,906,758,481,485,75,63,27,,22,
O06012,375,422,260,147,201,193,87,86,114,63
P07789,1793,2293,1790,1440,1187,1314,1599,1856,1195,814
P35150,110,335,110,192,61,110,199,109,109,
O07611,48,60,50,44,57,69,71,94,49,
P37548,71,147,36,108,119,94,41,96,51,
L8E9J0,241,213,275,144,,26,,,,
O32160,90,141,63,51,81,54,51,56,35,62
P38422,483,803,557,658,353,866,455,367,255,166
Q08312,129,95,233,140,226,73,99,155,94,39
P46915,531,781,527,448,354,440,566,635,285,203
P31845,65,114,92,86,,93,36,69,67,41
O34661,16,19,16,16,20,16,17,18,,17
O34431,498,603,375,403,340,409,293,428,250,96
O31740,105,96,99,90,77,108,122,84,85,145
O34389,795,1352,928,825,756,641,638,934,731,662
P22322,542,818,652,627,129,,,30,,
O06011,67,72,124,200,,,,,,
Q99171,373,420,287,241,112,,61,,,
P42969,237,436,367,213,270,245,347,384,175,57
O34928,58,109,78,57,73,103,26,33,,
O34423,123,261,147,154,181,257,286,180,94,118
P37955,63,46,,,,,,,,
Q796Y5,100,220,297,249,70,237,217,212,173,320
O34767,238,304,278,299,155,298,335,251,204,60
Q7WY69,32,21,72,,,,,,,
P50739,245,317,277,246,262,363,273,368,318,223
O32072,248,81,49,21,65,,48,45,323,145
O06996,299,343,222,353,255,360,421,457,384,281
O32128,468,407,521,257,26,92,123,194,49,
O32124,23,139,43,47,159,86,76,52,48,
P54943,117,132,167,83,,,,,,
P94377,941,1174,1011,865,447,640,789,764,583,409
O31786,530,656,432,220,100,,,,,
O07572,68,109,50,40,48,43,44,30,26,37
O05267,466,484,611,454,354,591,450,361,206,231
Q796C3,84,41,65,26,53,40,50,48,32,
O06010,50,166,110,70,105,,,,,
C0SP90,121,142,150,57,40,47,82,242,73,165
C0H432,65,74,39,51,,,,,,
P37956,94,269,167,30,,,,,,
O31589,86,202,36,136,74,91,84,75,46,76
C0H403,177,46,56,51,53,44,26,201,83,19
P50836,60,,17,71,,,,46,45,
Q7WY75,69,78,67,45,,,,28,,
P40397,266,196,318,256,127,203,176,281,109,92
O34505,20,50,24,48,41,15,,,,
O06998,339,401,144,211,163,85,235,63,288,170
P54586,779,519,472,485,389,395,234,272,228,203
P54587,279,133,138,77,,,,,,
C0H3Q2,32,31,299,250,413,81,,,,
P37558,86,95,66,67,130,52,92,76,70,33
P80242,233,48,240,240,275,537,78,126,132,302
P37553,67,61,,,,,,,,
O31707,15,,,,,,16,20,,
O31593,116,173,151,156,164,158,93,94,70,41
C0H3W2,19,,,,,,,,,
O31586,91,99,56,80,,,,,,
O34484,61,80,267,200,313,188,334,189,108,327
Q08313,97,68,74,289,156,156,101,87,161,150
P39116,63,18,,,,44,,33,61,189
O06719,94,40,34,94,78,63,31,47,28,
P19406,239,623,357,427,301,321,408,395,126,
P94358,84,22,67,28,99,26,46,44,24,
O31803,29,79,43,,104,,,62,62,52
P45869,21,48,,,,,,,,
P39571,20,,,,,,45,,,30
O31625,82,104,122,175,80,78,68,105,103,
O34840,44,,,,,,,,,
O31533,42,52,118,90,,49,98,27,36,31
P50865,36,66,71,29,90,107,104,44,,
P54477,33,140,179,90,44,69,42,125,67,
O31681,51,46,81,,50,87,73,71,65,
P49852,187,231,146,169,78,64,45,74,24,36
O07006,81,29,,97,51,52,33,30,22,
O34909,19,18,16,,,19,,,14,
P46338,74,,,58,,32,,23,,
O08394,284,283,300,341,157,146,360,177,283,
O34478,106,98,,,28,34,46,28,26,
P54716,75,223,92,55,91,47,48,62,28,32
P54721,118,143,,287,,50,110,103,,
P37512,181,236,139,112,69,102,82,39,103,138
P36946,64,260,135,76,141,92,149,160,117,104
P80238,118,147,211,210,138,128,113,125,111,151
P45947,74,110,90,92,103,95,26,42,,
