ProtID,Tminus30,T0,T15,T30,T45,T60,T90,T150,T210,T330
O06744,6523.00,,0.12,,6.81,0.16,297.60,,0.49,
O34799,3324.00,4498.00,11480.00,,,,,,,
P40868,1092.00,26.84,58.45,1949.00,,0.95,,42.11,27.04,64.55
O31446,1065.00,0.06,0.02,0.08,,60.39,0.06,0.14,28870.00,
O31659,626.00,47.26,1356.96,84.28,,,,,,
C0H3T6,517.20,,,,,,,,,
P02958,388.90,476.80,,276.90,,60.19,,25.61,,
P04831,329.91,359.21,117.41,104.18,38.98,39.20,7.99,34.89,13.75,6.32
P39668,319.36,48.14,25.07,24.43,211.07,13.01,23.94,70.41,69.94,531.50
Q7WY59,295.85,141.48,99.60,122.20,538.30,538.30,,26.44,44.53,
Q08311,283.40,65.32,196.15,172.35,194.06,344.59,184.74,110.60,48.35,133.80
O31768,273.78,173.92,111.58,125.28,22.71,13.42,10.54,20.72,8.31,
O31572,268.12,198.33,152.00,1.04,,,,,,
Q45060,262.32,136.23,70.36,65.03,13.05,78.03,7.84,9.40,,1.29
O32007,256.35,299.06,158.09,16.38,,,,,,
O34409,241.50,63.67,6.12,,192.50,170.02,58.81,20.40,,
P04832,238.64,192.83,62.81,72.16,22.38,58.59,5.58,39.27,11.30,
P94446,230.67,217.34,230.49,177.53,81.02,83.33,102.75,119.50,68.74,60.08
P54481,229.13,118.07,58.57,32.85,,,,80.73,,
P71032,225.48,61.72,16.78,,,,,,,
O31552,217.85,268.67,110.69,77.71,113.70,23.44,,,,
O35033,217.70,0.11,0.08,0.26,0.04,0.10,0.15,0.18,0.24,0.61
O34783,216.33,363.10,112.20,127.64,50.49,,,,,
O31762,216.20,5.73,18.96,13.80,19.17,,,,,
O34654,214.29,174.56,143.85,370.52,159.68,81.15,50.95,195.35,301.38,148.38
P54430,210.99,73.87,111.61,53.90,74.99,18.49,147.00,96.70,38.94,41.74
O34585,208.43,172.98,137.54,48.90,,,,164.90,,
O06734,204.00,109.08,39.42,82.32,97.21,88.79,97.69,95.70,71.99,23.06
C0H402,203.88,211.85,476.18,379.50,,,,,,
P94537,200.77,97.33,99.49,53.71,,11.19,21.32,2.54,0.12,
P54598,194.69,209.20,130.52,163.88,125.83,137.15,142.71,155.08,148.83,76.35
C0H3R1,194.22,174.50,195.29,145.06,148.68,59.49,,26.99,,
P54944,185.09,122.93,93.77,85.68,90.70,63.10,140.72,150.51,86.74,114.97
P39801,182.56,27.60,27.98,75.77,67.84,31.06,64.85,40.42,65.56,31.23
Q7WY58,181.45,273.16,46.63,48.68,11.00,20.15,8.12,16.51,11.94,14.34
P42402,181.39,180.34,138.55,45.55,76.52,129.20,102.64,52.00,51.77,51.19
O32180,173.84,81.62,148.41,45.82,63.18,39.95,14.85,52.22,,
O32066,171.51,162.05,11.17,292.00,0.01,,,,,
P71031,169.03,138.98,115.89,110.45,,,16.91,27.31,,
O32166,168.43,146.46,75.30,2787.59,0.05,0.05,0.01,,,
Q06320,166.50,51.50,34.11,45.55,40.08,209.20,26.39,199.15,70.82,
P37549,166.32,204.22,73.87,94.61,,,,53.93,,
O31649,164.23,96.63,78.82,99.76,68.21,75.10,35.90,50.64,72.26,90.84
O07949,164.20,27.95,53.71,65.41,45.66,0.01,0.02,0.05,0.02,0.08
O35023,163.19,166.66,479.26,184.85,424.14,142.26,285.28,69.37,94.22,82.59
O34503,160.22,311.09,63.89,,,,,,,
P54606,158.43,159.99,121.15,102.83,31.57,12.89,22.54,14.93,,
P54379,157.60,216.04,214.41,38.85,,,,,,
Q45538,156.46,188.42,201.44,62.45,71.00,78.72,148.07,139.78,130.33,37.86
P07784,151.13,141.43,60.15,28.48,16.54,16.86,2.12,357.30,,1.13
P54601,149.18,127.55,142.20,118.08,56.71,10.49,25.73,54.73,,
C0H3Y5,147.22,126.57,70.71,82.34,23.70,29.30,,84.89,,
P14016,145.45,114.51,132.68,88.86,96.24,108.52,129.08,126.38,124.87,65.56
P54474,144.26,248.80,84.74,78.24,62.99,30.39,223.50,110.70,143.09,63.53
P35149,141.72,149.58,114.15,124.00,166.87,124.92,225.77,191.15,148.71,81.21
O34579,140.92,132.73,94.96,45.22,72.25,69.33,228.88,63.52,62.46,73.93
O05246,139.80,166.41,176.30,,,,,,,
P04833,137.07,156.41,101.72,84.69,,,,,,
O32073,131.77,111.67,49.14,86.58,22.37,,,,,
Q7WY65,128.14,35.02,26.68,78.87,,,,,,
P40869,127.99,66.82,66.44,66.75,73.97,47.22,63.74,57.36,135.79,76.64
P49853,126.90,145.60,,,,,,,,
O34405,126.80,133.20,,,,,,,,
P54597,124.74,189.11,169.38,69.23,137.54,107.14,82.79,84.24,51.77,
O34859,124.00,25.22,68.10,57.04,27.79,,,,,
O34656,122.76,75.19,46.62,57.81,120.40,108.22,55.92,84.58,110.45,192.65
P10726,122.70,29.18,,,0.13,1.09,,0.18,0.15,
C0H443,122.51,161.53,186.70,,0.00,,,,,
O32173,121.64,71.26,268.84,379.10,,,,,,
P23261,119.44,123.04,94.47,103.84,131.98,134.44,241.68,172.41,124.57,113.50
P12310,118.40,126.93,99.49,92.62,89.71,87.52,82.64,179.97,92.04,106.99
P39790,115.93,3.28,1.82,1.54,,,0.31,0.08,27.87,
P07790,115.17,75.90,56.78,43.90,47.02,44.52,64.44,47.30,46.55,45.70
Q7WY68,114.47,58.05,21.13,26.07,,,,39.22,,
P46914,112.48,133.90,135.24,105.38,140.09,69.18,90.39,91.72,81.18,48.02
P39620,111.24,78.48,133.65,83.41,109.64,176.75,165.23,84.87,153.03,76.09
Q45535,110.79,198.17,,,95.67,23.36,8.03,170.16,,
O32036,108.30,,,,,0.23,,,,
Q796Q1,105.70,59.39,,15.26,,,,,,
O06997,104.23,82.33,113.80,127.04,100.19,140.72,109.53,120.88,121.24,47.02
P96728,101.86,83.40,59.95,88.34,,,,,,
P46916,101.85,101.13,76.89,199.62,85.58,115.32,150.22,90.22,70.73,242.90
P42408,96.42,110.53,59.39,132.03,,,,22.18,,
O31802,93.91,51.81,63.49,50.68,3.20,41.76,28.84,20.52,0.27,
P96619,93.69,72.86,68.49,87.09,101.07,82.66,66.11,109.74,77.67,45.84
P54448,93.49,63.34,27.19,,86.11,11.46,91.14,4.12,,111.10
P42249,92.59,119.29,227.17,93.45,74.19,112.65,44.68,25.39,46.70,1187.12
P07788,92.29,114.43,123.40,134.24,176.83,152.92,194.60,149.05,70.56,77.30
O07634,91.45,166.50,155.49,112.61,66.16,150.30,186.14,164.06,197.49,87.04
P38490,89.81,67.41,63.83,56.77,60.74,47.90,71.58,41.21,101.07,32.12
P42068,88.27,,,,,,,,,
Q7WY66,86.93,291.33,153.38,,,,,,,
O32089,85.03,49.00,81.56,6994.87,276.91,24.65,145.92,54.15,82.90,145.70
P40746,84.82,41.68,74.33,108.59,126.73,44.97,14.90,8.05,78.28,20.91
P16450,84.55,11.90,509.20,25.19,34.72,62.22,74.01,69.15,134.50,73.55
Q45537,84.53,221.49,132.74,121.72,47.06,74.26,50.67,100.18,100.75,113.92
P37554,84.41,69.31,91.48,70.35,100.26,88.06,153.24,170.19,73.59,94.49
P94541,82.04,111.60,0.10,,,,,,,
Q45536,81.49,52.70,89.60,77.25,59.85,74.16,78.78,145.34,142.88,81.17
P37531,81.06,49.27,133.29,34.62,74.39,131.41,115.01,114.69,112.66,15.08
P46331,80.80,,0.09,,,,,,,
P94494,80.62,31.77,2.79,367826.62,,26.44,18.86,44.37,4.97,
O05495,80.43,90.87,68.79,98.81,56.68,57.42,61.29,82.57,72.08,90.35
O31585,80.30,15.79,43.91,73.37,,,,,,
O07622,78.16,73.42,47.34,88.71,68.94,92.11,132.32,113.29,60.46,33.98
O32087,77.80,329.14,102.85,135.09,46.67,3.28,13.70,,37.38,
P54487,76.98,1.13,,,,,,,,
O34806,75.92,131.28,87.76,116.02,232.54,160.93,244.15,116.13,262.87,140.19
P54516,75.08,239.10,74.23,189.92,,210.50,15.89,149.40,,42.41
O32040,72.12,,,,,,,,,
O31824,71.73,253.95,10.22,63.47,35.51,14.24,64.01,124.89,98.45,126.20
O32062,70.91,59.40,38.32,51.23,62.77,47.06,91.57,118.88,61.91,75.07
O34682,70.14,81.16,119.73,84.19,32.41,26.62,6.04,,22.63,
O06012,70.10,86.74,40.39,36.83,34.63,54.73,49.99,47.71,55.54,44.09
P07789,69.11,122.65,114.75,103.19,133.30,125.48,209.90,126.35,94.19,49.92
P35150,68.32,78.23,33.56,72.45,300.70,51.86,66.46,45.62,44.21,
O07611,68.29,81.21,53.83,40.40,57.45,41.93,134.70,89.96,45.75,
P37548,65.80,107.46,233.33,88.88,58.22,157.22,0.29,600.48,21.73,
L8E9J0,64.87,47.99,109.86,35.02,,8.48,,,,
O32160,64.54,77.26,62.43,27.64,71.31,40.08,105.49,67.58,122.20,49.11
P38422,64.14,75.28,76.59,45.97,98.13,93.78,153.73,632.21,27.59,43.39
Q08312,63.58,194.16,94.24,101.12,125.30,37.08,27.63,59.81,55.78,27.61
P46915,62.66,106.85,76.97,106.77,122.65,95.79,105.51,111.60,83.81,29.71
P31845,62.66,58.01,31.09,54.74,,113.40,24.51,62.59,56.75,33.90
O34661,61.01,92.01,73.99,36.15,47.51,8.09,52.43,189.56,,12.88
O34431,59.52,42.43,45.86,55.88,51.19,45.91,48.21,90.88,127.48,14.72
O31740,58.85,35.69,37.50,14.84,4.49,2.79,0.33,0.24,3.42,3.47
O34389,58.07,44.81,43.00,33.85,44.49,46.59,69.66,56.23,64.75,56.55
P22322,56.52,66.23,72.79,205.36,37.06,,,107.50,,
O06011,54.32,33.25,44.24,50.30,,,,,,
Q99171,53.89,82.28,92.70,93.94,43.75,,20.10,,,
P42969,51.66,74.95,49.17,41.45,53.51,44.94,91.71,46.75,44.12,4.19
O34928,51.62,18.86,13.75,4.85,50.67,165.30,87.94,11.49,,
O34423,50.58,15.85,275.32,4.87,140.74,104.45,121.10,205.92,69.43,40.08
P37955,49.37,26.66,,,,,,,,
Q796Y5,48.66,49.46,65.22,110.61,168.83,53.66,27.13,40.52,44.71,38.28
O34767,47.93,91.45,102.17,138.65,44.51,60.42,102.71,57.14,106.02,10.64
Q7WY69,47.17,134.30,114.60,,,,,,,
P50739,46.65,51.26,60.47,80.20,137.20,165.38,115.93,125.16,104.39,131.10
O32072,45.79,0.52,0.14,0.81,0.10,,0.11,0.34,0.42,2.17
O06996,44.56,50.69,69.15,33.18,61.76,107.84,57.13,56.16,48.04,174.80
O32128,43.99,101.94,110.80,88.31,19.06,76.29,86.42,56.04,41.10,
O32124,43.33,50.06,0.33,1.11,11.33,3.55,7.72,26.55,30.35,
P54943,43.11,116.85,50.24,64.13,,,,,,
P94377,41.43,52.00,37.15,30.00,32.62,36.31,45.65,44.19,41.65,38.83
O31786,39.64,33.39,57.53,40.62,3.70,,,,,
O07572,39.45,24.55,136.91,19.92,30.65,14.29,30.63,49.45,49.69,24.56
O05267,39.23,49.87,41.20,39.76,33.67,45.32,76.16,47.21,47.13,70.89
Q796C3,38.80,11.74,4.68,16.39,24.46,4.47,17.54,3.88,0.03,
O06010,35.17,64.46,226.21,130.70,479.30,,,,,
C0SP90,34.79,42.78,94.53,0.17,11.81,5.21,29.58,130.80,114.70,151.20
C0H432,34.78,109.97,15.71,7.57,,,,,,
P37956,33.95,53.26,22.35,6.33,,,,,,
O31589,33.85,69.80,14.30,24.48,162.80,21.77,84.17,15.17,20.04,27.03
C0H403,32.44,153.50,28.17,11.70,104.60,5.23,69.74,49.11,61.65,41.80
P50836,31.22,,1033.00,86.54,,,,82.88,116.34,
Q7WY75,31.03,78.79,37.62,15.52,,,,219.80,,
P40397,30.95,16.75,61.28,85.43,39.78,28.25,61.86,94.85,186.64,21.26
O34505,30.23,41.47,72.38,82.80,39.95,0.02,,,,
O06998,28.23,27.79,24.87,23.17,42.54,79.29,10.19,97.83,191.30,55.98
P54586,27.47,27.84,19.72,20.43,26.05,36.82,60.23,46.39,35.40,32.30
P54587,26.38,26.29,22.04,8.30,,,,,,
C0H3Q2,26.08,50.26,63.13,39.43,138.30,20.89,,,,
P37558,25.70,29.22,35.10,19.92,23.10,30.93,83.63,340.25,46.86,0.01
P80242,25.37,6.15,2.71,4.17,4.77,11.61,4.26,0.06,4.88,9.52
P37553,25.10,7.40,,,,,,,,
O31707,24.79,,,,,,7313.00,51.15,,
O31593,23.74,7.67,47.01,19.01,17.79,19.65,22.00,28.31,17.31,27.67
C0H3W2,22.40,,,,,,,,,
O31586,22.12,10.88,14.97,385.90,,,,,,
O34484,21.08,2.66,0.24,0.18,0.21,0.21,0.20,0.25,0.29,0.86
Q08313,20.78,27.27,40.87,54.15,40.00,50.93,360.06,59.19,37.93,28.54
P39116,20.34,10.92,,,,25.75,,5.46,17.05,16.10
O06719,20.34,92.65,17.76,122.33,99.53,300.80,104.98,347.73,108.61,
P19406,20.08,55.87,64.91,49.29,61.46,86.01,71.56,33.16,12.98,
P94358,20.04,49.66,0.25,22.46,13.65,11.05,41.32,26.41,17.49,
O31803,19.13,21.62,0.26,,1.50,,,15.57,3.21,22.91
P45869,18.12,35.95,,,,,,,,
P39571,18.08,,,,,,19.91,,,0.04
O31625,17.48,43.51,16.00,93.94,10.38,53.96,21.41,34.00,15.66,
O34840,15.62,,,,,,,,,
O31533,15.20,1.75,3.64,13.67,,43.64,25.36,110.05,23.17,4.66
P50865,13.82,36.60,72.31,68.54,15.11,47.44,13.96,78.02,,
P54477,13.69,29.68,53.85,98.15,37.29,20.14,34.23,38.47,10.02,
O31681,13.03,13.26,30.32,,56.06,30.50,31.61,85.62,87.85,
P49852,12.32,8.15,3.38,4.26,4.90,4.66,4.28,4.18,3.40,4.26
O07006,11.97,1.89,,2.38,0.74,0.94,4.48,10.38,0.89,
O34909,11.90,0.21,0.00,,,0.09,,,0.00,
P46338,11.56,,,19.24,,12.98,,4.61,,
O08394,11.02,37.64,67.98,3.43,0.11,25.28,52.06,47.18,108.05,
O34478,10.00,2.68,,,0.02,0.93,0.47,0.08,0.13,
P54716,9.68,9.13,1.04,1.04,0.24,1.42,1.57,0.68,0.92,0.17
P54721,7.52,23.65,,12.93,,6.09,12.14,13.92,,
P37512,7.37,7.26,4.43,3.91,3.83,5.88,5.22,4.98,5.29,6.27
P36946,6.71,6.11,2.77,3.73,4.32,4.52,5.18,4.59,5.60,16.58
P80238,6.38,7.81,6.45,0.64,1.40,1.40,3.09,6.73,6.61,6.07
P45947,5.99,3.90,1.84,2.93,2.71,1.50,0.82,0.72,,
P38050,5.85,8.14,3.72,4.37,4.08,6.25,4.09,,,
O31699,5.79,5.02,1.42,2.09,0.01,1.04,1.82,2.03,,0.53
P37495,5.77,26.77,54.57,39.40,17.62,13.24,15.87,25.32,,
O07919,5.72,69.79,10.03,26.00,9.97,,,,,
O34645,5.08,5.39,0.90,5.40,3.43,5.66,1.75,1.23,1.24,
P49784,4.99,138.40,43.84,,217.49,291.70,204.27,54.02,453.30,
O34940,4.83,4.98,1.80,2.53,1.91,3.88,3.18,3.21,3.69,5.16
P94531,4.59,,0.04,,,,,,,0.23
P39804,4.57,5.88,2.12,2.66,1.90,2.54,4.26,2.92,8.56,
O32231,4.46,3.81,3.19,3.03,2.66,3.15,4.25,3.43,3.21,3.89
P46905,4.14,6.04,3.75,3.70,2.23,3.59,2.13,6.35,5.26,
P54524,4.06,4.62,1.61,2.08,2.03,2.98,2.78,2.09,1.74,1.95
O31601,3.97,2.17,2.44,3.86,0.41,1.05,0.41,3.47,0.46,
P36945,3.82,3.33,1.93,1.65,2.22,2.51,3.17,2.74,0.07,1.99
P39605,3.76,2.93,1.60,1.79,1.61,1.92,2.44,1.94,1.88,1.22
