gene,t30,t60,t90,t120,t150
rpoC,1,1,1,1,1
rpoB,1,1,1,1,1
rpoA,1,1,1,1,1
rpoZ,1,1,1,1,1
ykzG,0,1,1,1,1
rpoE,0,0,1,1,1
sigA,0,1,1,1,1
sigB,0,0,1,1,0
rsbV,0,0,1,1,1
rsbW,0,0,1,1,1
rsbR,0,0,1,1,1
nusA,0,1,1,1,1
greA,0,1,1,1,1
nusB,0,0,1,1,1
nusG,0,0,1,1,1
rho,0,0,0,1,1
codY,1,1,1,1,1
abrB,1,1,1,1,1
abh,0,0,0,1,1
rplA,1,1,1,1,1
rplB,1,1,1,1,1
rplC,1,1,1,1,1
rplD,1,1,1,1,1
rplE,1,1,1,1,1
rplF,1,1,1,1,1
rplI,0,0,1,1,1
rplJ,1,1,1,1,1
rplK,1,1,1,1,1
rplL,1,1,1,1,1
rplM,1,1,1,1,1
rplN,1,1,1,1,1
rplO,1,1,1,1,1
rplP,1,1,1,1,1
rplQ,1,1,1,1,1
rplR,1,1,1,1,1
rplS,1,1,1,1,1
rplT,1,1,1,1,1
rplU,1,1,1,1,1
rplV,1,1,1,1,1
rplW,1,1,1,1,1
rplX,1,1,1,1,1
rpmA,1,1,1,1,1
rpmB,0,0,1,1,1
rpmC,1,1,1,1,1
rpmD,1,1,1,1,1
rpmEA,1,1,1,1,1
rpmEB,0,0,0,1,1
rpmGA,0,0,1,1,1
rpmGB,0,0,1,1,1
rpmI,1,1,1,1,1
rpmJ,0,1,1,1,1
rpsA,1,1,1,1,1
rpsB,1,1,1,1,1
rpsC,1,1,1,1,1
rpsD,1,1,1,1,1
rpsE,1,1,1,1,1
rpsF,1,1,1,1,1
rpsG,1,1,1,1,1
rpsH,1,1,1,1,1
rpsI,1,1,1,1,1
rpsJ,1,1,1,1,1
rpsK,1,1,1,1,1
rpsL,1,1,1,1,1
rpsM,1,1,1,1,1
rpsN,1,1,1,1,1
rpsO,1,1,1,1,1
rpsP,1,1,1,1,1
rpsQ,1,1,1,1,1
rpsR,1,1,1,1,1
rpsS,1,1,1,1,1
rpsT,1,1,1,1,1
ctc,1,1,1,1,1
fusA,1,1,1,1,1
tufA,1,1,1,1,1
tsf,1,1,1,1,1
efp,0,0,1,1,1
