geneP,locus_tag,locus_tag2,gene1,gene3,gene4,gene5
cmpA,BSU04785,,,,,
sscB,BSU09959,,,,,
mciZ,BSU23616,,,,,
dnaA,BSU00010,,dnaH,,,
dnaN,BSU00020,,dnaG,,,
rlbA,BSU00030,,yaaA,,,
recF,BSU00040,,,,,
remB,BSU00050,,yaaB,,,
gyrB,BSU00060,,novA,,,
gyrA,BSU00070,,cafB,nalA,,
yaaC,BSU00080,,,,,
guaB,BSU00090,,gnaB,,,
dacA,BSU00100,,,,,
pdxS,BSU00110,,yaaD,,,
pdxT,BSU00120,,yaaE,,,
serS,BSU00130,,,,,
dck,BSU00140,,dak,yaaF,,
dgk,BSU00150,,yaaG,,,
sleL,BSU00160,,yaaH,,,
yaaI,BSU00170,,,,,
tadA,BSU00180,,yaaJ,,,
dnaX,BSU00190,,dnaH,,,
yaaK,BSU00200,,,,,
recR,BSU00210,,recD,recM,,
yaaL,BSU00220,,,,,
bofA,BSU00230,,,,,
csfB,BSU00240,,gin,yaaM,,
xpaC,BSU00250,,,,,
yaaN,BSU00260,,,,,
yaaO,BSU00270,,,,,
tmk,BSU00280,,yaaP,,,
darA,BSU00290,,yaaQ,,,
yaaR,BSU00300,,,,,
holB,BSU00310,,yaaS,,,
yaaT,BSU00320,,,,,
yabA,BSU00330,,,,,
yabB,BSU00340,,,,,
yazA,BSU00350,,,,,
rsmI,BSU00360,,yabC,,,
abrB,BSU00370,,cpsX,,,
metG,BSU00380,,metS,,,
yabD,BSU00390,,,,,
yabE,BSU00400,,,,,
rnmV,BSU00410,,yabF,,,
rsmA,BSU00420,,ksgA,,,
yabG,BSU00430,,,,,
veg,BSU00440,,,,,
sspF,BSU00450,,,,,
ispE,BSU00460,,ipk,yabH,,
purR,BSU00470,,yabI,,,
yabJ,BSU00480,,,,,
spoVG,BSU00490,,,,,
glmU,BSU00500,,gcaD,tms,tms-26,
prs,BSU00510,,,,,
ctc,BSU00520,,,,,
spoVC,BSU00530,,pth,,,
fin,BSU00540,,subA,yabK,,
mfd,BSU00550,,,,,
spoVT,BSU00560,,yabL,,,
yabM,BSU00570,,,,,
yabN,BSU00580,,,,,
yabO,BSU00590,,,,,
yabP,BSU00600,,,,,
yabQ,BSU00610,,,,,
divIC,BSU00620,,divA,,,
yabR,BSU00630,,,,,
spoIIE,BSU00640,,spoIIH,,,
yabS,BSU00650,,,,,
yabT,BSU00660,,,,,
tilS,BSU00670,,yacA,,,
hprT,BSU00680,,hpt,,,
ftsH,BSU00690,,,,,
coaX,BSU00700,,coaA,yacB,,
hslO,BSU00710,,yacC,,,
yacD,BSU00720,,,,,
