BSU38620,aag,yxlJ,21,
BSU14120,abbA,ykzF,224,
BSU39330,abnB,bfmBC,156,
BSU24340,accC,yqhX,319,
BSU15920,acpP,acpA,"	2726",
BSU36510,amtB,nrgA,2.93,
BSU03040,amyE,amyA,NA,
BSU25220,antE,NA,NA,
BSU11390,appB,NA,NA,
BSU10300,aprE,aprA,242,
BSU28800,araA,NA,NA,1.64 in E.coli
BSU28760,araM,"egsA,yseB",7.07,
BSU40320,argI,rocF,434,
BSU23960,artR,artM,334,
BSU16750,asd,BSU16750,1278,
BSU39900,aslA,"yxbA,yxaO",238,
BSU22360,asnC,asnS,499,
BSU37740,bacA,ywfB,7.52,
BSU37690,bacF,ywfG,8.95,
BSU24080,bcd,"bkd,yqiT",338,
BSU14770,bipA,typA,335,
BSU24040,bkdAB,bfmBAB,169,
BSU24030,bkdB,bfmB2,279,
BSU24100,bkdR,yqiR,19.4,
BSU00230,bofA,NA,NA,
BSU22050,bpsA,bcsA,1.33,
BSU29740,ccpA,"alsA,amyR,graR",221,
BSU14140,ccpC,ykuM,33.6,
BSU33040,citG,fumC,845,
BSU39060,citH,"citN,yxiQ",9.28,
BSU23760,coaA,yqjS,4.59,
BSU28070,comC,NA,NA,5.51 in E. coli
BSU25600,comER,comED,13.5,
BSU33490,copB,"yvgW,cadA",NA,
BSU22200,cotD,NA,NA,
BSU36070,cotG,NA,NA,
BSU34520,cotQ,yvdP,2.25,
BSU30910,cotSA,"ytbA,ytxN",4.15,
BSU17670,cotU,ynzH,13.8,
BSU11780,cotV,NA,NA,
BSU14880,ctaB,ctaB2,6.29,
BSU12080,ctaO,ctaB1,8.99,
BSU34000,cyeB,yvbV,3.69,
BSU27520,cymR,cysK,2204,
BSU27160,cypB,"cyp102A3,yrhJ",14.9,
BSU23190,dacB,BSU23190,4.35,
BSU09670,dat,yheM,445,
BSU39110,deaD,"dbpA,yxiN",13.5,
BSU14560,def,defB,527,
BSU39420,deoC,dra,378,
BSU19630,deoD,punB,400,
BSU00880,disA,comY,26.6,
BSU25210,dnaG,"dnaE,BSU25210",7.38,
BSU25460,dnaJ,NA,NA,179 in B. antracis
BSU22840,engA,der,105,
BSU40920,engD,ychF,392,
BSU34370,epsA,yveK,"	5.14",
BSU34360,epsB,yveL,23.5,
BSU34265,epsK,"yvfA,yvfB",NA,
BSU37660,eutD,pta,1091,
BSU40880,exoAA,exoA,9.53,
BSU11330,fabHA,yjaX,166,
BSU37120,fbaA,tsa,3641,
BSU16290,flgE,flgG,1128,
BSU16240,fliI,NA,NA,
BSU32580,frlM,yurM,25.4,
BSU32590,frlN,yurN,20.2,
BSU32600,frlO,"	
yurO",349,
BSU32560,frlR,yurK,25.9,
BSU10690,gerPD,NA,NA,
BSU10670,gerPF,NA,NA,
BSU15090,gerR,ylbO,55.3,
BSU16130,gid,ylyC,65.2,
BSU00500,glmU,tms,259,
BSU24870,glpG,"yqgP,gluP",3.82,
BSU06020,groES,groS,6102,
BSU06360,guaA,guaB,1227,
BSU28160,hemX,NA,NA,103 in E.coli
BSU16160,hslU,clpY,266,
BSU40360,htrC,"yycK,yyxA",1.84,
BSU39710,iolF,yxdF,NA,
BSU29590,iscS,nifS2,3.42,
BSU32680,iscU,nifU,282,
BSU14040,ldt,ykuD,5.08,
BSU38560,licH,"celD,celF",115,
BSU02700,lip,estA,612,
BSU28200,lonA,lon1,105,
BSU28210,lonB,"ysxF,lon2",4.78,
BSU24060,lpdV,bfmBC,"	156",
BSU34570,malK,"yvdK,mdxK",3.64,
BSU34620,mdxD,"yvdF,bbmA",7.62,
BSU34630,mdxR,yvdE,11,
BSU22970,mecB,ypbH,29.4,
BSU22750,menH,ytxM,5.44,
BSU00380,metS,metG,266,
BSU23550,mleA,yqkJ,93,
BSU16710,mlpA,ymxG,35.1,
BSU24130,mmgE,prpD,11.2,
BSU39760,mmsA,iolA,35.7,
BSU31321,mstX,NA,NA,
BSU27270,mtn,pfs,348,
BSU27270,mtnN,"mtn,pfs",348,
BSU37100,murAB,"murA,murZ",70.8,
BSU28580,mutSB,yshD,48.2,
BSU35020,nagBA,nagB,18.7,
BSU38110,nfrA,"ywcG,nfsA,nfrA1",140,
BSU27140,oatA,yrhL,3.66,
BSU27920,obgE,obg,146,
BSU41040,oxaAA,"spoIIIJ,misCA",227,
BSU23890,oxaAB,misCB,50.1,
BSU40970,parA,"orf253,soj",4191,
BSU40960,parB,spo0J,112,
BSU25000,pbpA,BSU25000,32.6,
BSU14610,pdhD,citL,3175,
BSU11540,pepF,yjbG,373,
BSU09310,pgcA,yvdM,8.04,
BSU34550,pgcM,yvdM,8.04,
BSU33910,pgm,gpml,629,
BSU35880,pgsA,"apA,ywtB",3.39,
BSU35900,pgsB,capB,7.2,
BSU35890,pgsC,capC,0.43,
BSU35870,pgsE,ywtC,11.1,
BSU12440,phrA,NA,NA,
BSU03780,phrC,NA,NA,
BSU25840,phrE,NA,NA,
BSU37470,phrF,NA,NA,
BSU37470,phrF,NA,NA,
BSU40310,phrG,yycL,NA,
BSU06839,phrH,NA,NA,
BSU05020,phrI,NA,NA,
BSU18920,phrK,NA,NA,
BSU23870,polYA,dinB1,15.9,
BSU23710,polYB,dinB2,5.02,
BSU22320,ponA,BSU22320,200,
BSU29540,ppnKB,"nadK2,nadK",205,
BSU37010,prfA,BSU37010,218,
BSU02030,prkD,"ybdM	",3.51,
BSU24970,pstA,"yzmD,yqgI",13,
BSU24960,pstBA,yqgJ,18.1,
BSU24950,pstBB,"pstB,yqgK,yzmF,pstB1",22.8,
BSU24980,pstC,"yzmC,yqgH",13.1,
BSU24090,ptb,"yqiS,bkd",121,
BSU36250,ptkA,ywqD,76.6,
BSU36250,ptkA,ywqD,76.6,
BSU32410,pucH,allB,7.14,
BSU23490,pupG,punA,556,
BSU39980,qodI,Bsubs1_010100021561,7.52,
BSU28390,racE,"glr,murI",45.7,
BSU28040,radC,ysxA,0.96,
BSU29300,rbfK,ribR,4.17,
BSU23150,resA,NA,NA,
BSU33660,rghRA,rghR,53.2,
BSU23260,ribAB,ribBA,69.5,
