gene,category
ampS,biofilm
bslA,biofilm
cheA,biofilm
cheD,biofilm
cheV,biofilm
cheY,biofilm
degQ,biofilm
degU,biofilm
dhbA,biofilm
dhbB,biofilm
dhbC,biofilm
epsA,biofilm
epsB,biofilm
epsC,biofilm
epsD,biofilm
epsE,biofilm
epsF,biofilm
epsG,biofilm
epsH,biofilm
epsI,biofilm
epsJ,biofilm
epsK,biofilm
epsL,biofilm
epsM,biofilm
epsN,biofilm
epsO,biofilm
flgE,biofilm
fliF,biofilm
floT,biofilm
ftsH,biofilm
galE,biofilm
gpsA,biofilm
hag,biofilm
hemAT,biofilm
kinC,biofilm
kinD,biofilm
luxS,biofilm
menH,biofilm
motA,biofilm
mstX,biofilm
ptkA,biofilm
ptpZ,biofilm
remA,biofilm
remB,biofilm
rny,biofilm
rqcH,biofilm
sdhC,biofilm
sfp/1,biofilm
sfp/2,biofilm
sigD,biofilm
sinI,biofilm
sinR,biofilm
sipW,biofilm
slrA,biofilm
slrR,biofilm
speA,biofilm
speD,biofilm
spo0A,biofilm
swrA,biofilm
swrAA/2,biofilm
tapA,biofilm
tasA,biofilm
tkmA,biofilm
veg,biofilm
yisP,biofilm
ylbF,biofilm
ymcA,biofilm
ymdB,biofilm
yugO,biofilm
yugO,biofilm
yvcA,biofilm
ywcC,biofilm
ywcC,biofilm
yxaB,biofilm
cheA,chemotaxis_motility
cheB,chemotaxis_motility
cheC,chemotaxis_motility
cheD,chemotaxis_motility
cheR,chemotaxis_motility
cheV,chemotaxis_motility
cheW,chemotaxis_motility
cheY,chemotaxis_motility
csrA,chemotaxis_motility
epr,chemotaxis_motility
epsE,chemotaxis_motility
flgM,chemotaxis_motility
flhG,chemotaxis_motility
fliY,chemotaxis_motility
hemAT,chemotaxis_motility
lonA,chemotaxis_motility
luxS,chemotaxis_motility
lytC,chemotaxis_motility
mcpA,chemotaxis_motility
mcpB,chemotaxis_motility
mcpC,chemotaxis_motility
motI,chemotaxis_motility
pdeH,chemotaxis_motility
rho,chemotaxis_motility
sigD,chemotaxis_motility
smiA,chemotaxis_motility
swrA,chemotaxis_motility
swrAA/2,chemotaxis_motility
swrB,chemotaxis_motility
swrD,chemotaxis_motility
tlpA,chemotaxis_motility
tlpB,chemotaxis_motility
tlpC,chemotaxis_motility
ycdA,chemotaxis_motility
yfmS,chemotaxis_motility
yoaH,chemotaxis_motility
yvaQ,chemotaxis_motility
addA,competence
addB,competence
bdbC,competence
bdbD,competence
coiA,competence
comA,competence
