locustag,title,description,function,product,essential,protID
BSU17890,tkt,transketolase,pentose phosphate pathway,transketolase,no,P45694
BSU20290,yorQ,unknown,unknown,unknown,no,O31897
BSU21700,ypoP,similar to transcriptional regulator ([wiki|MarR family]),unknown,unknown,no,P54182
BSU39850,yxbF,similar to transcriptional regulator ([wiki|TetR family]),unknown,unknown,no,P46330
BSU15640,rqcH,ribosome-associated protein quality control factor  selects tRNA<sup>Ala</sup> during RQC elongation,rescue of stalled ribosomes,ribosome-associated protein quality control factor,no,O34693
BSU02950,niaP,nicotinate transporter,uptake of niacin,nicotinate transporter,no,O34691
new40474634047537,S1517,new RNA feature  intergenic region,,intergenic region,,
BSU01650,namZ,exo-β-N-acetylmuramidase,cell wall turnover and recycling,exo-β-N-acetylmuramidase,no,P40407
BSU00390,yabD,putative metal-dependent hydrolase,unknown,putative metal-dependent hydrolase,no,P37545
BSU17540,ynaF,unknown,unknown,unknown,no,P94484
new41645654165231,S1559,antisense RNA to [[gene|9B624751E8BD3EA616B4B50633A558F4CE032E2C]],control of [[gene|9B624751E8BD3EA616B4B50633A558F4CE032E2C]] expression,antisense RNA to [[gene|9B624751E8BD3EA616B4B50633A558F4CE032E2C]],,
new21950602195563c,S777,new RNA feature  intergenic region,,intergenic region,,
BSU05344,ydzS/2,part of the ydzS pseudogene,unknown,unknown,-,
BSU07180,yezB,split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]]),possible stressosome protein,split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]]),no,
BSU29780,facZ,Firmicute-associated coordinator of Z-rings  general stress protein,control of division site placement,coordinator of Z-rings,no,P40779
BSU05810,gmuB,glucomannan-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system]  EIIB of the [[category|SW.1.2.2|PTS]],glucomannan uptake and phosphorylation,glucomannan-specific lichenan-specific [[category|SW.1.2.2|PTS]]  EIIB component,no,O05505
BSU33870,yvbI,unknown,unknown,unknown,no,O32246
BSU16770,dapA,dihydrodipicolinate synthase,biosynthesis of lysine and peptidoglycan,dihydrodipicolinate synthase,yes,Q04796
BSU08730,perR,transcriptional repressor of the peroxide regulon  sensor of the intracellular Fe/Mn ratio,regulation of the response to peroxide,transcriptional repressor ([wiki|Fur family]),no,P71086
BSU24360,spoIIIAH,component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane  required for [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] activation,activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]  forespore encasement by the spore coat,part of the transmembrane channel linking the mother cell and the forespore,no,P49785
new35826913582779c,S1330,new RNA feature  5'UTR of yvcA,,5'UTR of yvcA,,
new16037121603778,S563,new RNA feature  5'UTR of spoIIGA,,5'UTR of spoIIGA,,
BSU02710,yczC,unknown,unknown,unknown,no,O31469
new13691271369854c,S464,new RNA feature  3'UTR of ykgB,,3'UTR of ykgB,,
new10417101041809c,S336,new RNA feature  5'UTR of yheN,,5'UTR of yheN,,
BSU40480,yycB,similar to permeases,unknown,unknown,no,P37482
new10417331041928,S337,new RNA feature  5'UTR of dat,,5'UTR of dat,,
new12685931268828,S435,new RNA feature  intergenic region,,intergenic region,,
new33868523387780c,S1270,new RNA feature  3'UTR of yirB,,3'UTR of yirB,,
BSU15940,smc,part of the [wiki|condensin] complex  chromosomal origin condensation and segregation SMC protein,segregation of replication origins,chromosome condensation and segregation SMC protein,yes,P51834
new839233839338c,S266,new RNA feature  intergenic region,,intergenic region,,
new35097813509830c,S1307,new RNA feature  3'UTR of lutR,,3'UTR of lutR,,
new21618012162107c,S768,new RNA feature  intergenic region,,intergenic region,,
BSU00240,csfB,anti-sigma factor  inhibitor of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] and of [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]],control of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] and [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]] activity,inhibitor of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] and [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]],no,P37534
BSU09780,yheC,ATP-binding spore coat protein,unknown,ATP-binding spore coat protein,no,O07544
new15718011571902c,S551,new RNA feature  5'UTR of ylbJ,,5'UTR of ylbJ,,
BSU31670,yuxO,similar to thioesterase,unknown,unknown,no,P14205
BSU31730,yuzC,spore coat protein,protection of the spore,spore coat protein,no,O32089
BSU13850,pfeT,Fe<sup>2+</sup> efflux pump  P<sub>1B4</sub>-type ATPase  protects the cell against iron intoxication,protection against toxic iron,Fe<sup>2+</sup> efflux pump,no,O31688
new19005151901611,S640,new RNA feature  intergenic region,,intergenic region,,
BSU25565,BSU_25565,,,,,
BSU13360,ykoP,unknown,unknown,unknown,no,O34495
new15705751571849,S550,new RNA feature  intergenic region,,intergenic region,,
BSU15560,pyrE,orotate phosphoribosyltransferase,pyrimidine biosynthesis,orotate phosphoribosyltransferase,no,P25972
new34957023495768c,S1306,new RNA feature  5'UTR of lutA,,5'UTR of lutA,,
BSU12110,yjfA,unknown,unknown,unknown,no,O34554
BSU28475,lysCB,,,,,
new667383667465,S220,new RNA feature  5'UTR of gutB,,5'UTR of gutB,,
BSU20830,yopN,involved in controlling lysis/lysogeny in the SP beta phage,control of lysis/lysogeny in the SP beta phage,unknown,no,P68581
BSU12170,forE1,essential subunit of formate:menadione oxidoreductase [[protein|E54F39E72DC4881E886159607C2B424A41DE0D01]]-[[protein|01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87]]  general stress protein  survival of ethanol and paraquat stresses,survival of stress conditions,partner subunit of formate:menadione oxidoreductase [[protein|E54F39E72DC4881E886159607C2B424A41DE0D01]]-[[protein|01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87]],no,O34681
new926651926919c,S289,new RNA feature  independent transcript,,independent transcript,,
BSU04430,ydbD,general stress protein  similar to manganese-containing catalase,survival of ethanol stress,unknown,no,P80878
BSU21340,yomJ,similar to phage-related immunity protein,unknown,unknown,no,O31975
BSU00560,spoVT,transcription activator and repressor of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]-dependent genes,regulation of forespore gene expression,transcriptional regulator,no,P37554
BSU10480,yhjE,DedA superfamily member (COG0398)  putative lipid transporter,unknown,unknown,no,O07559
BSU13290,ykzD,unknown,unknown,unknown,no,O34405
new19231251923233,S663,new RNA feature  5'UTR of ccdA,,5'UTR of ccdA,,
BSU26330,yqdA,unknown  skin element,unknown,unknown,no,P54372
new27490372749259,S1013,new RNA feature  5'UTR of yraL,,5'UTR of yraL,,
BSU19020,yobN,similar to L-amino acid oxidase,unknown,unknown,no,O34363
BSU10730,yisI,[[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]-P phosphatase  control of the [wiki|phosphorelay],control of [wiki|sporulation] initiation,[[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]-P phosphatase,no,O06722
new32081923208279c,S1190,new RNA feature  intergenic region,,intergenic region,,
new11925921192857,S398,new RNA feature  intergenic region,,intergenic region,,
BSU32790,yusG,unknown,unknown,unknown,no,O32173
BSU04020,yczH,unknown,unknown,unknown,no,O31482
BSU31740,pdeH,c-di-GMP degrading phosphodiesterase,degradation of c-di-GMP,c-di-GMP degrading phosphodiesterase,no,P14203
BSU14071,fadG,fatty acid degradation,fatty acid degradation,unknown,no,O34320
BSU28800,araA,L-arabinose isomerase,arabinose utilization,L-arabinose isomerase,no,P94523
BSU12220,yjiC,UDP-dependent glycosyltransferase  macrolide glycosyltransferase,synthesis of bacillaene,UDP-dependent macrolide glycosyltransferase,no,O34539
BSU03970,ycnL,unknown,unknown,unknown,no,P94434
new30327653032908,S1130,new RNA feature  5'UTR of ytsP,,5'UTR of ytsP,,
new11504641151119,S381,new RNA feature  independent transcript,,independent transcript,,
BSU19360,odhB,2-oxoglutarate dehydrogenase complex (dihydrolipoamide transsuccinylase  E2 subunit),TCA cycle,2-oxoglutarate dehydrogenase complex,no,P16263
BSU22070,xpt,xanthine phosphoribosyltransferase,purine salvage and interconversion,xanthine phosphoribosyltransferase,no,P42085
new37940103794074c,S1430,new RNA feature  5'UTR of tsaC,,5'UTR of tsaC,,
BSU01170,rplD,ribosomal protein uL4,translation,ribosomal protein L4 (uL4),yes,P42921
BSU23380,lysA,diaminopimelate decarboxylase,biosynthesis of lysine,diaminopimelate decarboxylase,no,P23630
BSU28930,lytS,two-component sensor kinase  control of pyruvate utilization,control of pyruvate utilization,two-component sensor kinase,no,P94513
BSU15069,ylzH,unknown,unknown,unknown,-,C0H411
BSU00950,mrnC,RNase Mini-III,maturation of 23S rRNA,RNase Mini-III,no,O31418
BSU19030,yobO,similar to phage-related pre-neck appendage protein,unknown,unknown,no,O34433
BSU30350,yttB,similar to multidrug resistance protein,unknown,unknown,no,O34546
BSU34910,hisD,histidinol dehydrogenase,biosynthesis of histidine,histidinol dehydrogenase,no,O34651
BSU05610,vmlR,F-type ATP-binding cassette protein  allosterically dissociates antibiotics (virginiamycin M  lincomycin) from their ribosomal binding sites,dissociation of antibiotics (virginiamycin M  lincomycin) from the ribosome,ABCF ATPase,no,P39115
new20790862079196,S728,new RNA feature  independent transcript,,independent transcript,,
new21978602198069c,S778,new RNA feature  intergenic region,,intergenic region,,
BSU38140,qoxD,cytochrome aa3 quinol oxidase (subunit IV),respiration,cytochrome aa3 quinol oxidase (subunit IV),no,P34959
BSU21750,sco,accessory lipoprotein required for assembly of the Cu(A) center of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]],maturation of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]],synthesis of cytochrome oxidase protein,no,P54178
BSU37070,rpmE,ribosomal protein bL31,translation,ribosomal protein L31 (bL31),no,Q03223
BSU17900,sirA,[[category|SW.4.2]] protein  inhibits [[category|SW.3.1.1]] initiation in cells committed to [[category|SW.4.2]]  facilitates capture of <i>oriC</i> in the forespore,control of chromosome copy number,inhibitor of [[category|SW.3.1.1]],no,P45707
BSU00600,yabP,required for [wiki|sporulation] at a late stage,[wiki|sporulation],unknown,no,P37558
BSU07430,yfmL,DEAD-box RNA helicase,RNA helicase,DEAD-box RNA helicase,no,O34750
BSU27710,tgt,tRNA-guanine transglycosylase,tRNA modification,tRNA-guanine transglycosylase,no,O32053
new37337363733966c,S1396,new RNA feature  5'UTR of ywzD,,5'UTR of ywzD,,
BSU08290,lnrJ,two-component sensor kinase  involved in resistance to linearmycin,involved in resistance to linearmycin,two-component sensor kinase,no,P94438
BSU08930,cspR,tRNA (Um34/Cm34) methyltransferase,translation,tRNA (Um34/Cm34) methyltransferase,no,O31590
BSU08280,yfiI,similar to oxidoreductase,unknown,unknown,no,P94437
BSU22400,dinG,ATP-dependent DNA helicase,response to DNA damage,ATP-dependent DNA helicase,no,P54394
BSU26320,yqaG,similar to transcription regulator ([wiki|Xre family])  skin element,unknown,unknown,no,P45904
