locus_tag,gene, protein_length, gene_length
BSU17890,tkt,667,2004
BSU20290,yorQ,51,156
BSU21700,ypoP,141,426
BSU39850,yxbF,380,1143
BSU15640,rqcH,572,1719
BSU02950,niaP,400,1203
new40474634047537,S1517, ,75
BSU01650,namZ,414,1245
BSU00390,yabD,255,768
BSU17540,ynaF,117,354
new41645654165231,S1559, ,667
new21950602195563c,S777, ,504
BSU05344,ydzS/2,37,114
BSU07180,yezB,99,297
BSU29780,ytxG,140,423
BSU05810,gmuB,103,312
BSU33870,yvbI,232,699
BSU16770,dapA,290,873
BSU08730,perR,145,438
BSU24360,spoIIIAH,218,657
new35826913582779c,S1330, ,89
new16037121603778,S563, ,67
BSU02710,yczC,127,384
new13691271369854c,S464, ,728
new10417101041809c,S336, ,100
BSU40480,yycB,402,1209
new10417331041928,S337, ,196
new12685931268828,S435, ,236
new33868523387780c,S1270, ,929
BSU15940,smc,1186,3561
new839233839338c,S266, ,106
new35097813509830c,S1307, ,50
new21618012162107c,S768, ,307
BSU00240,csfB,64,195
BSU09780,yheC,363,1092
new15718011571902c,S551, ,102
BSU31670,yuxO,126,381
BSU31730,yuzC,122,369
BSU13850,pfeT,637,1914
new19005151901611,S640, ,1097
BSU25565,BSU25565, , 
BSU13360,ykoP,183,552
new15705751571849,S550, ,1275
BSU15560,pyrE,216,651
new34957023495768c,S1306, ,67
BSU12110,yjfA,157,474
BSU28475,lysCB, , 
new667383667465,S220, ,83
BSU20830,yopN,105,318
BSU12170,forE1,186,561
new926651926919c,S289, ,269
BSU04430,ydbD,273,822
BSU21340,yomJ,227,684
BSU00560,spoVT,178,537
BSU10480,yhjE,207,624
BSU13290,ykzD,45,138
new19231251923233,S663, ,109
BSU26330,yqdA,46,141
new27490372749259,S1013, ,223
BSU19020,yobN,446,1341
BSU10730,yisI,56,171
new32081923208279c,S1190, ,88
new11925921192857,S398, ,266
BSU32790,yusG,78,237
BSU04020,yczH,202,609
BSU31740,pdeH,409,1230
BSU14071,fadG,576,1731
BSU28800,araA,496,1491
BSU12220,yjiC,392,1179
BSU03970,ycnL,117,354
new30327653032908,S1130, ,144
new11504641151119,S381, ,656
BSU19360,odhB,417,1254
BSU22070,xpt,194,585
new37940103794074c,S1430, ,65
BSU01170,rplD,207,624
BSU23380,lysA,439,1317
BSU28930,lytS,593,1782
BSU15069,ylzH,61,186
BSU00950,mrnC,143,432
BSU19030,yobO,806,2421
BSU30350,yttB,397,1194
BSU34910,hisD,427,1284
BSU05610,vmlR,547,1644
new20790862079196,S728, ,111
new21978602198069c,S778, ,210
BSU38140,qoxD,124,375
BSU21750,sco,193,582
BSU37070,rpmE,66,201
BSU17900,sirA,148,447
BSU00600,yabP,100,303
BSU07430,yfmL,376,1131
BSU27710,tgt,381,1146
new37337363733966c,S1396, ,231
BSU08290,lnrJ,400,1203
BSU08930,cspR,160,483
BSU08280,yfiI,393,1182
BSU22400,dinG,931,2796
BSU26320,yqaG,189,570
BSU14280,moeA,430,1293
BSU14630,speA,490,1470
BSU20170,yosC,180,543
BSU06620,ligA,668,2007
BSU39050,katE,686,2061
BSU05390,ydfF,226,681
BSU25990,yqbS,141,426
new17803991780532,S612, ,134
new32554323256404,S1214, ,973
BSU36200,ywqI,86,261
BSU39070,bglS,242,729
BSU22660,trpC,250,750
BSU33610,rnr,779,2340
BSU35500,degS,385,1158
BSU32730,metQ,274,825
new37624793762776c,S1409, ,298
new42154734215670,S1583, ,198
BSU35440,yvyF,139,420
BSU36990,ywkF,95,288
BSU09620,yhdW,243,732
BSU35450,comFC,229,690
BSU11870,metI,373,1119
BSU06269,ydzJ,52,159
BSUmiscRNA12,BSUmiscRNA12, ,118
BSU06550,yecA,424,1275
BSUmiscRNA48,BSUmiscRNA48, ,248
BSU38180,ywzA,81,246
BSU31630,mrpD,493,1482
new12113721211476,S403, ,105
BSU04650,ndoAI,93,282
BSU08020,yfjO,466,1401
new41255934125741c,S1543, ,149
new649718649826,S207, ,109
BSU03789,yczN,37,114
new35298563529913c,S1313, ,58
BSU11460,oppD,358,1077
BSU22590,ypiA,423,1272
new19157941916005c,S656, ,212
BSU04110,lipC,213,642
new38099803810619c,S1440, ,640
new37415933741676,S1400, ,84
BSU05240,ydeL,463,1392
BSU30280,melD,303,912
new252315252458,S89, ,144
BSUrRNA8,rrnJ-5S, ,118
new37442363744320c,S1401, ,85
BSU22230,ptsA,168,507
BSU12930,dppB,308,927
new40391604039225c,S1515, ,66
BSU39950,yxaJ,142,426
BSU09210,yhcT,302,909
BSU38390,ywbA,444,1335
new27803312780484c,S1029, ,154
BSU13270,ykoI,226,681
BSU15730,fmt,317,954
BSU26510,yrkH,377,1134
BSU40390,walH,455,1368
new22259952226059,S800, ,65
new36316093631729c,S1350, ,121
BSU14720,ylaB,89,270
new25297262529888c,S918, ,163
BSU33760,sdpB,323,972
BSU32830,fadA,391,1176
new12297591229848,S412, ,90
BSU39810,csbC,461,1386
new37741883774399c,S1418, ,212
BSU32040,yuiF,442,1329
BSU37240,ywiE,500,1503
BSUmiscRNA61,mswI, , 
BSU02070,csgA,82,249
new34517713451862c,S1287, ,92
BSU08320,lnrM,396,1191
BSU17280,ymaD,150,453
new11689181169042,S393, ,125
BSU05600,ydgE,157,474
BSU13520,ykrP,340,1023
BSU11120,yitT,280,843
new25523072552445,S924, ,139
BSU07410,yfmN,51,156
BSU33250,rsiO,136,411
BSU32630,yurR,372,1119
BSU27490,yrrB,206,621
new13869841387035c,S472, ,52
BSU10750,yisK,301,906
BSU09520,sigM,163,492
BSU15260,ylxX,235,708
BSU39600,yxeC,132,399
BSU11382,appA/2,388,1167
BSU00250,xpaC,204,615
new14548061455063,S504, ,258
BSUmiscRNA79,surC, ,91
new10729631073105c,S351, ,143
BSU21190,yomX,216,651
BSUmiscRNA20,BSUmiscRNA20, ,157
BSU30180,ytbQ,253,762
new35743213577707,S1326, ,3387
BSU20040,yosP,598,1798
BSU25569,yqzM,44,135
BSU39150,yxiJ,98,297
BSU10420,comK,192,579
new34718243472588,S1299, ,765
new27138032713911c,S993, ,109
new15386931539646,S537, ,954
BSU23616,mciZ, ,123
BSU25160,ispH,314,945
BSU30390,bceS,334,1005
new4522445399c,S23, ,176
BSU22390,ypmA,56,171
BSU39750,iolB,271,816
BSU04745,BSU04745, , 
new10717091071971c,S348, ,263
new17442971744366,S598, ,70
BSU23780,yqjQ,259,780
new28973412897467c,S1072, ,127
BSU14150,ykuN,158,477
BSU21990,ypdQ,132,399
BSU16520,frr,185,558
BSU14000,patA,393,1182
BSU27809,yrzT,46,141
BSU36710,fdhD,262,789
BSU26450,yrkN,185,558
BSU27020,yraA,169,510
new18848801884967,S629, ,88
BSUmiscRNA2,scr, , 
BSU25090,yqfW,193,582
BSU24630,sipW,190,573
BSUtRNA34,trnD-Asp, ,77
new34637343464253c,S1292, ,520
BSU17330,miaA,314,945
BSU08380,yfiS,417,1254
BSU37030,racA,184,555
new21987662198847c,S779, ,82
BSU32660,glxB,127,384
new31943493194635,S1188, ,287
BSU19680,yozE,74,225
BSU31860,yueB,1076,3231
BSU18860,yozH,118,357
BSU36740,ywmC,227,684
BSU07120,lplC,295,888
BSU21925,BSU21925, , 
new33162133316329c,S1246, ,117
new25638032563987c,S928, ,185
BSU07900,yfkH,275,828
new516099516240,S162, ,142
new15493841549464,S538, ,81
BSU38720,yxkO,276,831
BSU15200,murD,451,1356
new24321602433082,S882, ,923
new30162993016403c,S1119, ,105
BSU16010,ylqD,128,387
BSU28640,pheS,344,1035
BSU15800,yloS,214,645
BSU02220,ybfI,275,828
BSU24190,yqiI,206,621
new27980082799197,S1038, ,1190
BSU11810,spoVIF,84,255
BSU22980,ypbG,259,780
new34632513463318c,S1291, ,68
new36221393622219c,S1346, ,81
BSU37090,glpX,321,966
BSU30050,murJ,544,1635
BSU06990,rhiG,296,891
BSU01700,murQ,304,915
BSU11530,coiA,373,1122
BSU13840,stoA,165,498
new235329235401c,S82, ,73
BSU08560,yfhJ,89,270
BSU25820,yqcI,254,765
BSU33920,tpi,253,762
BSU26020,yqbP,219,660
new38608763860997c,S1456, ,122
BSU04700,rsbU,335,1008
BSU32640,sspG,48,147
BSU10300,aprE,381,1146
BSU06600,pcrB,228,687
BSU31560,nupP,348,1047
BSU24940,sweC,154,465
new34661573466342c,S1296, ,186
new5264952719,S29, ,71
BSU12671,xkdN,148,447
BSU19650,pgpB,203,612
BSU21090,yonH,166,501
BSU21140,yonC,178,537
BSUmiscRNA39,BSUmiscRNA39, ,175
BSU05580,ydgC,195,588
new28407672840964c,pipA, ,198
BSU34780,nahA,158,477
BSU06170,fruC,320,963
BSU15060,tmcAL,415,1248
new925460925632,S288, ,173
BSU35020,nagB,242,729
BSU31330,yugN,134,405
BSU18380,iseA,181,546
BSU01290,rpsN,61,186
BSU11180,yitZ,164,495
BSU35239,swrAA/2,38,117
new25964392596534,S945, ,96
new238449238569c,S84, ,121
BSU01440,rplQ,120,363
BSU34230,epsN,388,1167
new593206593301c,S188, ,96
new20701202070243c,S719, ,124
BSU16070,ylqG,576,1731
new37077083707818,S1383, ,111
BSU31990,dhbC,398,1197
BSU35080,pchR,169,510
BSU17267,ymzE/2,58,177
BSU24950,pstBB,260,783
new38093703809496c,S1439, ,127
new10085531008622,S324, ,70
BSU11420,trpS,330,993
BSU15090,gerR,193,582
BSU06020,groES,94,285
new23096482309785c,S830, ,138
new196132196212,S68, ,81
BSU26990,yraD,99,300
BSU00150,dgk,207,624
BSU06430,purK,380,1143
BSU39290,yxxD,147,444
BSU02700,lip,212,639
BSU28890,yscB,221,666
BSU39840,yxbG,273,822
BSU29290,sndA,416,1251
BSU22170,ypsC,385,1158
new32941703294254c,S1231, ,85
new26055982605729c,S955, ,132
BSU20960,yopA,438,1317
BSU28440,sdhA,586,1761
new39651343966683c,S1482, ,1550
BSU33540,azoR2,211,636
new36088433609333c,S1340, ,491
new41676244168153,S1562, ,530
new33880093388287c,S1272, ,279
BSU01100,rpsL,138,417
BSU06000,ydiK,63,192
BSU07440,yfmK,148,447
