name1,name2,sporulating,Spo0A,genome_size,Class,Order,Family,regulator,Spo0A,Spo0H SigH,SpoIIIE FtsK,SpoIIIJ,SpoVC Pth,SpoVG,SpoVS,FtsA,FtsE,FtsH,FtsX,FtsY,FtsZ,DivIB FtsQ,DivIC FtsB,DivIVA,Jag,MinC,MinD,MinJ YyxA DegQ,ObgE,SweC,SigE,SigF,SigG,SpoIIAA,SpoIIAB,SpoIIE,SpoIIGA,Spo0JA ParA,Spo0JB ParB YyaA,SpoIID,SpoIIM,SpoIIP,SpoIIQ,SpoIIIAA,SpoIIIAB,SpoIIIAC,SpoIIIAD,SpoIIIAE,SpoIIIAF,SpoIIIAG,SpoIIIAH,SpoIIR,SpoIVB,SpoVT,DacB DacF,GerW YtfJ,YdfS YetF,YlbB,YlbC,YloC,YqhQ,YuiC,YyaC,SpoVAC,SpoVAD,SpoVAEB,AdhB,YqfS Nfo ,SplB,SspA SspB SspC SspD,SigK,SpoIIID,SpoIVCA,SpoIVFB,SpoVB SpoIIIF YkvU MurJ,SpoVE,SpoVK,CtpB,Alr YncD,SpmA,SpmB,YisY YfhM,YitE,YlmC YmxH,YoaR,YtaF,YtvI,YyaD YkvI,DpaA SpoVFA,DpaB SpoVFB,cgeD,YkuD YciB,YrkC,YtdA,YtlD,SpoVD FtsI,SpoVV YlbJ,CwlC CwlD,LytH,StoA SpoIVH,YabP,YabQ,YqfC,YqfD,SpoIVA,CotJC YjqC,cotSA,GerM,LipC YcsK,SafA,SleL YaaH YdhD,YhaX,GerAA,GerAB,GerAC,GerF lgt,Gpr,CwlJ SleB,EprnCspA CspB CspC,Gdh,Spo0B,Spo0E,Spo0F,SpoVN ald,FtsL,YmcA RicA,YlbF RicF,YaaT RicT,YisK,YusE,SpoIIB,SpoIIIL YqzE,YunB,BofC,RsfA,Sda,YabK,YjbA,YmfJ,YqhG,YwzB,SpoVAA,SpoVAB,SpoVAF,SspE,SspF,SspH,SspI,Tlp,YuzA,YqfX,SpoIVFA,SpoVM,BofA,YdcA,YdcC GerS,YhbH,CotD,SpoVID,SpoVIF,CotE,CotJA,CotJB,CotM CotP YpqA GerT,CotQ,YfhP,YhjR,GerD,GerE,GerQ,YpeB,KinA,KinB,KinC,KinD,KinE,KbaA,SpoVAEA,SspK,SspL,SspN,SspO,SspP,CsgA,SASP,CsfB,YabG,YbaK,YtxC,YozQ,YjcM2,CotI,CotN TasA,CotO,CotV,CotW,CotY,YhbB YjcM,YheC,YlbD,YmaG,YppG,YpzA,YraG,YsxE,YuzC,YwqH,YybI,GerPA,GerPB,GerPC,GerPD,GerPE,CoxA YhcN YlaJ,Tgl,YfkD,YodI,YqfT,YrzE,YtfI,YtrH,YtrI,Spo0M,SpoVR,CotR,cgeE,OxdD,SpsB,SpsI,SpsF,SpsG,YkuK,YneF,YkuJ,DisA,YwlE,YrrD,CotF YhcQ,SpsJ,YckC,SpsE,SwsB YlxY YlxW,CotH,CotA,CgeB YkvP
Bacillus subtilis sub subtilis 168 (taxid224308),Bacillus_subtilis_sub_subtilis_168,Y,Y,4.22,Bacilli,Bacillales,Bacillaceae,sp1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aeribacillus pallidus (taxid:33936),Aeribacillus_pallidus_KCTC3564,Y,Y,4.09,Bacilli,Bacillales,Bacillaceae,sp2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0
Amphibacillus xylanus NBRC 15112 (taxid:698758),Amphibacillus_xylanus_NBRC_15112,Y,Y,2.57,Bacilli,Bacillales,Bacillaceae,sp3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
Anoxybacillus flavithermus WK1 (taxid:491915),Anoxybacillus_flavithermus_WK1,Y,Y,2.85,Bacilli,Bacillales,Bacillaceae,sp4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Bacillus anthracis str. Ames (taxid:198094),Bacillus_anthracis_Ames,Y,Y,5.23,Bacilli,Bacillales,Bacillaceae,sp5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1
Bacillus cereus ATCC 14579 (taxid:226900),Bacillus_cereus_ATCC_14579,Y,Y,5.43,Bacilli,Bacillales,Bacillaceae,sp6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0
Alkalihalobacillus halodurans C-125 (taxid:272558),Bacillus_halodurans_C-125,Y,Y,4.2,Bacilli,Bacillales,Bacillaceae,sp7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1
Bacillus licheniformis DSM 13 ATCC 14580 (taxid279010),Bacillus_licheniformis_DSM_13_ATCC_14580,Y,Y,4.22,Bacilli,Bacillales,Bacillaceae,sp8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
Bacillus thuringiensis serovar kurstaki str. HD73 (taxid:1279365),Bacillus_thuringiensis_serovar_kurstaki_HD73,Y,Y,5.91,Bacilli,Bacillales,Bacillaceae,sp9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0
Fictibacillus phosphorivorans (taxid:1221500),Fictibacillus_phosphorivorans_G25-29,Y,Y,4.23,Bacilli,Bacillales,Bacillaceae,sp10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
